Date,Title,Article,Sentiment,clean title,clean article,polarity,cong,bjp
2014-07-10,budget 2014: government allocates rs 500 crore for internet connectivity in villages,"new delhi: highlightsthe government today said it will allocate rs 500 crore for its 'digital india' initiative to set up broadband network in villages and promote local manufacturingwindow._pricee = window._pricee || []; _pricee.push({container : '_pcwgtmid'});the government today said it will allocate rs 500 crore for its 'digital india' initiative to set up broadband network in villages and promote local manufacturing of hardware and indian software products.under the digital india initiative, national rural internet and technology mission, the government will focus on setting up broadband in villages, promote local manufacturing of hardware and indian software products, finance minister arun jaitley today said while presenting the budget for 2014-15.""a special focus will be on supporting software products startups. a national rural internet and technology mission service in villages and training in it...i have provided a sum of rs 500 crore for this purpose,"" he informed parliament.googletag.cmd.push(function() { googletag.display(""adslotnativevideo""); });also in what could provide more opportunities for the technology firms, the minister proposed to set up 100 smart cities for which the government will provide rs 7,060 crore.besides, in a bid to boost the earnings of the small and medium enterprises, mr jaitley said manufacturing units will be allowed to sell their products through retail and e-commerce platforms.",0.08627087198515769,budget 2014 : government allocates rs 500 crore internet connectivity villages,"new delhi : highlightsthe government today said allocate rs 500 crore ' digital india ' initiative set broadband network villages promote local manufacturingwindow._pricee = window._pricee &#124; &#124; [ ] ; _pricee.push( { container : ' _pcwgtmid ' } ) ; government today said allocate rs 500 crore ' digital india ' initiative set broadband network villages promote local manufacturing hardware indian software products.under digital india initiative , national rural internet technology mission , government focus setting broadband villages , promote local manufacturing hardware indian software products , finance minister arun jaitley today said presenting budget 2014-15. "" special focus supporting software products startups. national rural internet technology mission service villages training ... provided sum rs 500 crore purpose , "" informed parliament.googletag.cmd.push( function( ) { googletag.display( "" adslotnativevideo "" ) ; } ) ; also could provide opportunities technology firms , minister proposed set 100 smart cities government provide rs 7,060 crore.besides , bid boost earnings small medium enterprises , mr jaitley said manufacturing units allowed sell products retail e-commerce platforms .","{'bjp': 0, 'cong': 0}",0,0
2014-07-10,budget 2014: government allocates rs 500 crore for internet connectivity in villages,"the government is looking to give broadband access to rural areasnew delhi: the government today said it will allocate rs 500 crore for its 'digital india' initiative to set up broadband network in villages and promote local manufacturing of hardware and indian software products.under the digital india initiative, national rural internet and technology mission, the government will focus on setting up broadband in villages, promote local manufacturing of hardware and indian software products, finance minister arun jaitley today said while presenting the budget for 2014-15.""a special focus will be on supporting software products start-ups. a national rural internet and technology mission service in villages and training in it...i have provided a sum of rs 500 crore for this purpose,"" he informed parliament.googletag.cmd.push(function() { googletag.display(""adslotnativevideo""); });also in what could provide more opportunities for the technology firms, the minister proposed to set up 100 smart cities for which the government will provide rs 7,060 crore.besides, in a bid to boost the earnings of the small and medium enterprises, mr jaitley said manufacturing units will be allowed to sell their products through retail and e-commerce platforms.",0.08928571428571429,budget 2014 : government allocates rs 500 crore internet connectivity villages,"government looking give broadband access rural areasnew delhi : government today said allocate rs 500 crore ' digital india ' initiative set broadband network villages promote local manufacturing hardware indian software products.under digital india initiative , national rural internet technology mission , government focus setting broadband villages , promote local manufacturing hardware indian software products , finance minister arun jaitley today said presenting budget 2014-15. "" special focus supporting software products start-ups. national rural internet technology mission service villages training ... provided sum rs 500 crore purpose , "" informed parliament.googletag.cmd.push( function( ) { googletag.display( "" adslotnativevideo "" ) ; } ) ; also could provide opportunities technology firms , minister proposed set 100 smart cities government provide rs 7,060 crore.besides , bid boost earnings small medium enterprises , mr jaitley said manufacturing units allowed sell products retail e-commerce platforms .","{'bjp': 0, 'cong': 0}",0,0
2014-08-15,"'no snake charmers or black magic, we are digital india', says pm modi","new delhi: prime minister narendra modi pushed for a ""digital india"" in his first independence day speech.""the world used to think we are a land of snake charmers and black magic. but our youth has surprised the world with its it skills,"" mr modi said, adding, ""i dream of a digital india. it was once said railways connects india. today i say it connects india.""he called for ""good governance through e-governance"" and talked about connecting villages with broadband to provide education and telemedicine facilities to every indian.the pm also said mobile phones could be used to improve the delivery system and help the poor draw the benefits of government schemes.pm modi, one of india's most twitter-savvy politicians, has championed the use of social media to communicate with the masses and for inter-departmental coordination in his government. he has also asked his ministers to take to it tools for more effective functioning.googletag.cmd.push(function() { googletag.display(""adslotnativevideo""); });mr modi's successful election campaign relied heavily on social media platforms like twitter and facebook to reach out to voters. with 5 million followers, the 63-year-old is said to be the fourth most followed world leader on twitter.soon after taking charge in may, the pm permitted twitter unprecedented access to his administration, in an attempt to put social media at the heart of government.the centre is also working on a rs. 500-crore scheme for mr modi's goal of a 'digital india by 2019'.",0.2334848484848485,"' snake charmers black magic , digital india ' , says pm modi","new delhi : prime minister narendra modi pushed "" digital india "" first independence day speech. "" world used think land snake charmers black magic. youth surprised world skills , "" mr modi said , adding , "" dream digital india. said railways connects india. today say connects india. "" called "" good governance e-governance "" talked connecting villages broadband provide education telemedicine facilities every indian.the pm also said mobile phones could used improve delivery system help poor draw benefits government schemes.pm modi , one india ' twitter-savvy politicians , championed use social media communicate masses inter-departmental coordination government. also asked ministers take tools effective functioning.googletag.cmd.push( function( ) { googletag.display( "" adslotnativevideo "" ) ; } ) ; mr modi ' successful election campaign relied heavily social media platforms like twitter facebook reach voters. 5 million followers , 63-year-old said fourth followed world leader twitter.soon taking charge may , pm permitted twitter unprecedented access administration , attempt put social media heart government.the centre also working rs. 500-crore scheme mr modi ' goal ' digital india 2019 ' .","{'bjp': 0, 'cong': 0}",0,0
2014-08-21,cabinet approves programme to make india digitally empowered, the programme would ensure that government services are available to citizens electronically. ,0.4,cabinet approves programme make india digitally empowered,programme would ensure government services available citizens electronically.,"{'bjp': 0, 'cong': 0}",0,0
2014-08-21,it industry 'very excited' about government's digital india plan: nasscom, nasscom said it plans to hold a roundtable with government officials to discuss the role it can play in implementing the ambitious plan. ,0.25,industry ' excited ' government ' digital india plan : nasscom,nasscom said plans hold roundtable government officials discuss role play implementing ambitious plan.,"{'bjp': 0, 'cong': 0}",0,0
2014-08-26,national optical fibre network to drive india's e-commerce explosion: prasad, prasad was speaking at the first meeting of the centre and states on various initiatives under the digital india programme. ,0.08333333333333333,national optical fibre network drive india ' e-commerce explosion : prasad,prasad speaking first meeting centre states various initiatives digital india programme.,"{'bjp': 0, 'cong': 0}",0,0
2014-08-30,"now, narendra modi government plans to get you walking on a digital cloud","new delhi: if the upa government had food, education, job and information for all, prime minister narendra modi - who has just unveiled banking for all - now plans to give a little cyberspace to all. the government is working on an ambitious plan to provide each citizen with a ""unique digital cloud"".it would be your own little bank of information - where all your original documents can be saved. birth certificate, school certificates, board exam marksheets, college degrees, documents about other qualifications, passport, pan card, residence proof and even property details.so, if a graduate applies for a government job, ""the government can access the applicant's personal digital cloud and get a copy of degree provided by the university,"" explained a senior nda minister, citing an example. the idea, being pushed by the prime minister himself, is ""simple and executable"". and government department would be able to access it through an ""access interface"".result: work would be less dependent on paper documents. ""it would also save people the trouble of getting documents attested and help stop forgery,"" added an official in the prime minister's office. googletag.cmd.push(function() { googletag.display(""adslotnativevideo""); });the government is already looking for suggestions on the mygov.in portal to find how the digital cloud idea could be developed, expanded and executed successfully.there's more. if successfully implemented, the digital cloud can have different use in urban and rural context. for the rural population, it could store information regarding government benefits availed by each person -- direct cash transfers, medical assistance and subsidies. the project, in a way, is a take-off from the upa government's work to move critical information infrastructure on a national cloud. the national cloud - ""megh raj"" - was launched in february by former it minister kapil sibal. the idea was to deliver e-services faster and help develop various e-governance applications by connecting the state data centers. ",0.09723092998955067,", narendra modi government plans get walking digital cloud","new delhi : upa government food , education , job information , prime minister narendra modi - unveiled banking - plans give little cyberspace all. government working ambitious plan provide citizen "" unique digital cloud "" .it would little bank information - original documents saved. birth certificate , school certificates , board exam marksheets , college degrees , documents qualifications , passport , pan card , residence proof even property details.so , graduate applies government job , "" government access applicant ' personal digital cloud get copy degree provided university , "" explained senior nda minister , citing example. idea , pushed prime minister , "" simple executable "" . government department would able access "" access interface "" .result : work would less dependent paper documents. "" would also save people trouble getting documents attested help stop forgery , "" added official prime minister ' office. googletag.cmd.push( function( ) { googletag.display( "" adslotnativevideo "" ) ; } ) ; government already looking suggestions mygov.in portal find digital cloud idea could developed , expanded executed successfully.there ' more. successfully implemented , digital cloud different use urban rural context. rural population , could store information regarding government benefits availed person -- direct cash transfers , medical assistance subsidies. project , way , take-off upa government ' work move critical information infrastructure national cloud. national cloud - "" megh raj "" - launched february former minister kapil sibal. idea deliver e-services faster help develop various e-governance applications connecting state data centers.","{'bjp': 0, 'cong': 0}",0,0
2014-09-01,prime minister modi launches portal for citizen contribution in governance," called mygov, it is aimed at allowing citizens contribute in governance by giving their opinions and views on important issues like clean ganga or skill development. ",0.38333333333333336,prime minister modi launches portal citizen contribution governance,"called mygov , aimed allowing citizens contribute governance giving opinions views important issues like clean ganga skill development.","{'bjp': 0, 'cong': 0}",0,0
2014-09-01,dot bharat domains to launch on thursday, dot bharat domains will be soon followed by web addresses in six regional languages. ,0.0,dot bharat domains launch thursday,dot bharat domains soon followed web addresses six regional languages.,"{'bjp': 0, 'cong': 0}",0,0
2014-09-01,indian government launches e-greeting portal, the portal allows users to select and send a greeting from several templates available for an occasion. ,0.2,indian government launches e-greeting portal,portal allows users select send greeting several templates available occasion.,"{'bjp': 0, 'cong': 0}",0,0
