Date,Title,Article,clean title,clean article,polarity,cong,bjp,senti
2004-01-02,advani promises bill banning cow slaughter ,"new delhi, january 1 deputy prime minister l.k. advani said today that efforts would be made to ensure the enactment of a central legislation prohibiting cow slaughter in the country.an assurance to this effect was given by mr advani to a delegation of the akhil bhartiya swardaliya goraksha samiti, which called on him at his residence. the delegation also handed over a letter by the shankaracharya madhavashram seeking ban on cow slaughter and declaration of the revered animal as a rashtriya prani (national animal). the shankaracharya, in his letter, reminded mr advani of his commitment to the cause of protection of cows.he further told mr advani that the faith of the people in the bjp would be strengthened if the party fulfilled its commitment. in this context, it may be recalled that the centre failed to introduce the bill pertaining to imposing ban on cow slaughter in parliament during the monsoon session, as the opposition and the dmk, which has recently moved out of the nda fold, strongly opposed it. ",advani promises bill banning cow slaughter,"new delhi , january 1 deputy prime minister l.k. advani said today efforts would made ensure enactment central legislation prohibiting cow slaughter country.an assurance effect given mr advani delegation akhil bhartiya swardaliya goraksha samiti , called residence. delegation also handed letter shankaracharya madhavashram seeking ban cow slaughter declaration revered animal rashtriya prani ( national animal ) . shankaracharya , letter , reminded mr advani commitment cause protection cows.he told mr advani faith people bjp would strengthened party fulfilled commitment. context , may recalled centre failed introduce bill pertaining imposing ban cow slaughter parliament monsoon session , opposition dmk , recently moved nda fold , strongly opposed it.","{'bjp': 1, 'cong': 0}",0,1,-0.036700336700336705
2004-01-19,gorshkov deal to be signed tomorrow ," new delhi, january 18 the deal for the purchase of aircraft carrier admiral gorshkov is likely to be signed on tuesday when russian defence minister sergei ivanov meets defence minister george fernandes.the russian defence minister, who begins his three-day visit to new delhi from tomorrow, is expected to meet mr fernandes on tuesday morning. the russian defence ministry delegation, which will be accompanying mr ivanov, is expected to hold discussions with their indian counterparts tomorrow and then on tuesday morning to crease out last minute problems that may remain.the cabinet committee on security (ccs) had in its meeting yesterday authorised mr fernandes to work out the deal with russia and to ink the deal during the visit of the russian defence minister. the governments nod for the purchase of the almost 45,000 tonne aircraft carrier will mean a major boost to the navy that has been waiting for long for a aircraft carrier.the decks for the purchase of admiral gorshkov were cleared late last year following hectic rounds of negotiations between india and russia. there were major differences between the two countries not only over the price at which the re-fitment of the aircraft carrier would be carried out by russia but also over various other equipments which moscow was insisting that new delhi should buys from it as part of the package deal. after the negotiations were over, the ministry of defence has forwarded the proposal to the ccs for its clearance which came yesterday after almost hour-long deliberations which also included a presentation from the navy.russia had offered admiral gorshkov, which has been docking at one of its ports for long after being decommissioned, free of cost to india but had stringed the offer with the sale of various defence equipment. although the defence ministry officials were tight-lipped about the actual price at which the deal would be signed, sources said it could be anywhere between 1.6 to $1.8 billion.sources said along with the deal for the re-fitment of admiral gorshkov, india was also expected to sign a deal for the purchase of 28 mig-29k fighters and 6 kamov 31 anti-submarine helicopters. the re-fitment and upgrading of admiral gorshkov is expected to be valued around $700 million. earlier, there were differences between india and russia over the fitment of the air defence system on the aircraft carrier. the russian were apparently insisting that india should buy its modern kashtan air defence system which was is yet to pass trials. india on the other hand, was also wanting to try out french astre and israeli barak air defence systems before making a final decision. now the air defence system would be installed on the aircraft carrier after it had completed the user trials. during the visit of mr ivanov, the two sides would also discuss the issue of erratic supply of spares for russian frontline armament system used by indian armed forces and contractual disputes cropping up over the sukhoi-30 fighter sales to india. ",gorshkov deal signed tomorrow,"new delhi , january 18 deal purchase aircraft carrier admiral gorshkov likely signed tuesday russian defence minister sergei ivanov meets defence minister george fernandes.the russian defence minister , begins three-day visit new delhi tomorrow , expected meet mr fernandes tuesday morning. russian defence ministry delegation , accompanying mr ivanov , expected hold discussions indian counterparts tomorrow tuesday morning crease last minute problems may remain.the cabinet committee security ( ccs ) meeting yesterday authorised mr fernandes work deal russia ink deal visit russian defence minister. governments nod purchase almost 45,000 tonne aircraft carrier mean major boost navy waiting long aircraft carrier.the decks purchase admiral gorshkov cleared late last year following hectic rounds negotiations india russia. major differences two countries price re-fitment aircraft carrier would carried russia also various equipments moscow insisting new delhi buys part package deal. negotiations , ministry defence forwarded proposal ccs clearance came yesterday almost hour-long deliberations also included presentation navy.russia offered admiral gorshkov , docking one ports long decommissioned , free cost india stringed offer sale various defence equipment. although defence ministry officials tight-lipped actual price deal would signed , sources said could anywhere 1.6 $ 1.8 billion.sources said along deal re-fitment admiral gorshkov , india also expected sign deal purchase 28 mig-29k fighters 6 kamov 31 anti-submarine helicopters. re-fitment upgrading admiral gorshkov expected valued around $ 700 million. earlier , differences india russia fitment air defence system aircraft carrier. russian apparently insisting india buy modern kashtan air defence system yet pass trials. india hand , also wanting try french astre israeli barak air defence systems making final decision. air defence system would installed aircraft carrier completed user trials. visit mr ivanov , two sides would also discuss issue erratic supply spares russian frontline armament system used indian armed forces contractual disputes cropping sukhoi-30 fighter sales india.","{'bjp': 0, 'cong': 0}",0,0,-0.0050974025974026005
2004-01-25,tight security across country for r-day," new delhi, january 24 with barely two days left for the republic day, security forces across the country have been put on high alert, particularly in delhi, jammu and kashmir and the north east, in view of intelligence inputs about possible terrorist bids to disrupt the celebrations.the national capital, where president a.p.j. abdul kalam will take salute at the historic rajpath in the presence of the countrys top leadership, including prime minister atal bihari vajpayee and deputy prime minister l.k. advani, besides chief guest and brazilian president luiz inacio lula da silva, has already been placed under a multi-layered security blanket.the lawns flanking the rajpath, india gate and red fort have been sealed with hundreds of security personnel maintaining a strict round-the-clock vigil.security measures have also been beefed up at indira gandhi international airport, vital installations, around prominent hotels, tourist spots and other public places in view of intelligence reports about specific threats to these.all buildings flanking the eight-km route would be taken over by security personnel tomorrow, a day ahead of the celebrations, to prevent terrorists from using rocket launchers or missiles to target the parade.in jammu and kashmir, security forces have been put on high alert and additional troops mobilised.maulana azad stadium in the states winter capital jammu, venue of the main function where governor s.k. sinha will take the salute, has been sealed off and sharpshooters and commando units positioned around it.extra security measures are being taken in the north east, where insurgents have called for bandh on the republic day.in meghalaya, special operations are being carried out in various areas in the backdrop of repeated attacks on security personnel by insurgents in the last few days.garo hills is the main focus of the joint operation of meghalaya and assam police forces along with the crpf.additional deployment of troops has been made in assam and a round-the-clock vigil was being maintained.security forces have also been alerted in nagaland, tripura and manipur.extra security measures are also being undertaken in other states of the country, particularly maharashtra, gujarat, rajasthan, uttar pradesh and tamil nadu.  pti ",tight security across country r-day,"new delhi , january 24 barely two days left republic day , security forces across country put high alert , particularly delhi , jammu kashmir north east , view intelligence inputs possible terrorist bids disrupt celebrations.the national capital , president a.p.j. abdul kalam take salute historic rajpath presence countrys top leadership , including prime minister atal bihari vajpayee deputy prime minister l.k. advani , besides chief guest brazilian president luiz inacio lula da silva , already placed multi-layered security blanket.the lawns flanking rajpath , india gate red fort sealed hundreds security personnel maintaining strict round-the-clock vigil.security measures also beefed indira gandhi international airport , vital installations , around prominent hotels , tourist spots public places view intelligence reports specific threats these.all buildings flanking eight-km route would taken security personnel tomorrow , day ahead celebrations , prevent terrorists using rocket launchers missiles target parade.in jammu kashmir , security forces put high alert additional troops mobilised.maulana azad stadium states winter capital jammu , venue main function governor s.k. sinha take salute , sealed sharpshooters commando units positioned around it.extra security measures taken north east , insurgents called bandh republic day.in meghalaya , special operations carried various areas backdrop repeated attacks security personnel insurgents last days.garo hills main focus joint operation meghalaya assam police forces along crpf.additional deployment troops made assam round-the-clock vigil maintained.security forces also alerted nagaland , tripura manipur.extra security measures also undertaken states country , particularly maharashtra , gujarat , rajasthan , uttar pradesh tamil nadu.  pti","{'bjp': 0, 'cong': 0}",0,0,0.09084054834054833
2004-02-04,violence mars bengal bandh ,"our correspondent kolkata, february 3 violence marred today's bengal bandh, which the trinamool congress called and the bjp supported.the bandh was organised in protest against the state government's decision to impose taxes on the rural poor and their properties like cows and the cattle.the bandh was partial. buses, trams and other public vehicles plied, though their number was less. the suburban and long distance trains left and reached howrah and sealdah stations on time barring a few incidents of obstruction. airlines also operated as usual.over 1500 persons had been arrested from different parts of the state in connection with the bandh. the police had to open fire in two incidents and use tear gas shells in three other incidents in and around kolkata to stop clashes between trinamool and the cpm supporters.there were several incidents of obstructions on the railway track at several stations. the bandh supporters held up government buses on several routes. in some areas, crackers were burst and stones were thrown at running buses, injuring several passengers and damaging the vehicles. chief minister, buddhadeb bhattacharjee claimed that the bandh had little effect. he said buses, trams and trains ran as usual. state government offices and private establishments were open and functioned as usual though the attendance there was less. there was normal work in kolkata and haldia ports. tea gardens in north bengal functioned normally. all flights from kolkata airport operated on time schedule, he added.but the trinamool leader, mr pankaj banerjee, thanked people for responding to the bandh call. he alleged that the cpm and the police jointly operated and attacked the bandh supporters to foil the bandh. he alleged that over 3,000 innocent trinamool workers and supporters were tortured and arrested by the police for participating in the bandh.calling the bandh as politically motivated, the left front chairman, mr biman bose, said the people had rejected the trinamool bandh. he claimed that the bandh was a total flop. kolkata, february 3 violence marred today's bengal bandh, which the trinamool congress called and the bjp supported.the bandh was organised in protest against the state government's decision to impose taxes on the rural poor and their properties like cows and the cattle.the bandh was partial. buses, trams and other public vehicles plied, though their number was less. the suburban and long distance trains left and reached howrah and sealdah stations on time barring a few incidents of obstruction. airlines also operated as usual.over 1500 persons had been arrested from different parts of the state in connection with the bandh. the police had to open fire in two incidents and use tear gas shells in three other incidents in and around kolkata to stop clashes between trinamool and the cpm supporters.there were several incidents of obstructions on the railway track at several stations. the bandh supporters held up government buses on several routes. in some areas, crackers were burst and stones were thrown at running buses, injuring several passengers and damaging the vehicles. chief minister, buddhadeb bhattacharjee claimed that the bandh had little effect. he said buses, trams and trains ran as usual. state government offices and private establishments were open and functioned as usual though the attendance there was less. there was normal work in kolkata and haldia ports. tea gardens in north bengal functioned normally. all flights from kolkata airport operated on time schedule, he added.but the trinamool leader, mr pankaj banerjee, thanked people for responding to the bandh call. he alleged that the cpm and the police jointly operated and attacked the bandh supporters to foil the bandh. he alleged that over 3,000 innocent trinamool workers and supporters were tortured and arrested by the police for participating in the bandh.calling the bandh as politically motivated, the left front chairman, mr biman bose, said the people had rejected the trinamool bandh. he claimed that the bandh was a total flop. ",violence mars bengal bandh,"correspondent kolkata , february 3 violence marred today ' bengal bandh , trinamool congress called bjp supported.the bandh organised protest state government ' decision impose taxes rural poor properties like cows cattle.the bandh partial. buses , trams public vehicles plied , though number less. suburban long distance trains left reached howrah sealdah stations time barring incidents obstruction. airlines also operated usual.over 1500 persons arrested different parts state connection bandh. police open fire two incidents use tear gas shells three incidents around kolkata stop clashes trinamool cpm supporters.there several incidents obstructions railway track several stations. bandh supporters held government buses several routes. areas , crackers burst stones thrown running buses , injuring several passengers damaging vehicles. chief minister , buddhadeb bhattacharjee claimed bandh little effect. said buses , trams trains ran usual. state government offices private establishments open functioned usual though attendance less. normal work kolkata haldia ports. tea gardens north bengal functioned normally. flights kolkata airport operated time schedule , added.but trinamool leader , mr pankaj banerjee , thanked people responding bandh call. alleged cpm police jointly operated attacked bandh supporters foil bandh. alleged 3,000 innocent trinamool workers supporters tortured arrested police participating bandh.calling bandh politically motivated , left front chairman , mr biman bose , said people rejected trinamool bandh. claimed bandh total flop. kolkata , february 3 violence marred today ' bengal bandh , trinamool congress called bjp supported.the bandh organised protest state government ' decision impose taxes rural poor properties like cows cattle.the bandh partial. buses , trams public vehicles plied , though number less. suburban long distance trains left reached howrah sealdah stations time barring incidents obstruction. airlines also operated usual.over 1500 persons arrested different parts state connection bandh. police open fire two incidents use tear gas shells three incidents around kolkata stop clashes trinamool cpm supporters.there several incidents obstructions railway track several stations. bandh supporters held government buses several routes. areas , crackers burst stones thrown running buses , injuring several passengers damaging vehicles. chief minister , buddhadeb bhattacharjee claimed bandh little effect. said buses , trams trains ran usual. state government offices private establishments open functioned usual though attendance less. normal work kolkata haldia ports. tea gardens north bengal functioned normally. flights kolkata airport operated time schedule , added.but trinamool leader , mr pankaj banerjee , thanked people responding bandh call. alleged cpm police jointly operated attacked bandh supporters foil bandh. alleged 3,000 innocent trinamool workers supporters tortured arrested police participating bandh.calling bandh politically motivated , left front chairman , mr biman bose , said people rejected trinamool bandh. claimed bandh total flop.","{'bjp': 2, 'cong': 2}",2,2,-0.045833333333333344
2004-02-08,2 crpf jawans killed in naxalite attack,"koraput, february 7 at least three security personnel, including two crpf jawans, were killed when a heavily armed group of naxalites overran several installations in the district headquarters town of orissa and looted a large number of weapons late last night.terming the attack as serious, chief minister naveen patnaik said the security in the district had been beefed up and the state government would request the centre to provide an additional battalion of the crpf.a group of 100 naxalites blasted a crpf truck near kolab killing two policemen and injuring three others immediately after attacking six places in the district headquarters and three police stations, superintendent of police arun kumar bothra said. the truck of the crpf jawans was blasted when they were rushing here from their battalion centre at kolab to provide assistance.  pti ",2 crpf jawans killed naxalite attack,"koraput , february 7 least three security personnel , including two crpf jawans , killed heavily armed group naxalites overran several installations district headquarters town orissa looted large number weapons late last night.terming attack serious , chief minister naveen patnaik said security district beefed state government would request centre provide additional battalion crpf.a group 100 naxalites blasted crpf truck near kolab killing two policemen injuring three others immediately attacking six places district headquarters three police stations , superintendent police arun kumar bothra said. truck crpf jawans blasted rushing battalion centre kolab provide assistance.  pti","{'bjp': 0, 'cong': 0}",0,0,-0.2017316017316017
2004-02-09,"congress alliance fragile, says venkaiah "," new delhi, february 8 the bjp today said that the congress was suspicious of its alliance partners and had no other ideology apart from dynastic politics.congress president sonia gandhi yesterday said the bjp was pressurising bsp not to go with the congress. but mayawati is not a coward as described by sonia. she has got an independent mind. sonia has undermined mayawati by calling her a coward. we do not call our alliance party a coward, bjp president m. venkaiah naidu said at a felicitation function organised by people of uttaranchal here.mr naidu said that even before the elections are held, the congress-led alliance was heading for a divorce and given its track record in dumping alliance partners the intentions of the party had already been made clear.the congress alliance, he said, was fragile and opportunistic.ncps sharad pawar wanted a cooperation in mumbai and operation in delhi, whereas, deve gowdas janata dal has said yes to the congress in delhi, but no in bangalore....amar singh is ready for eating with the congress and not meeting with the congress, mr naidu said.he termed the next general elections as a war and a bjp victory was imperative for further development of the country.we will go to every village, walk every street and knock every door and talk with everyone, the bjp president said.the congress was devoid of an able leader and did not have a mission and during the last many years of congress-rule most of the promises made by the party remained unfulfilled.underlining the bjp catch-phrase feel-good factor, mr naidu highlighted the present government is credited with the creation of highways and bringing about major changes in telecom and gas services.unlike during the congress regime, there is no waiting list or queues, he said. ","congress alliance fragile , says venkaiah","new delhi , february 8 bjp today said congress suspicious alliance partners ideology apart dynastic politics.congress president sonia gandhi yesterday said bjp pressurising bsp go congress. mayawati coward described sonia. got independent mind. sonia undermined mayawati calling coward. call alliance party coward ,  bjp president m. venkaiah naidu said felicitation function organised people uttaranchal here.mr naidu said even elections held , congress-led alliance heading divorce given track record dumping alliance partners intentions party already made clear.the congress alliance , said , fragile opportunistic.ncps sharad pawar wanted cooperation mumbai operation delhi , whereas , deve gowdas janata dal said yes congress delhi , bangalore .... amar singh ready eating congress meeting congress ,  mr naidu said.he termed next general elections war bjp victory imperative development country.we go every village , walk every street knock every door talk everyone , bjp president said.the congress devoid able leader mission last many years congress-rule promises made party remained unfulfilled.underlining bjp catch-phrase feel-good factor , mr naidu highlighted present government credited creation highways bringing major changes telecom gas services.unlike congress regime , waiting list queues , said.","{'bjp': 6, 'cong': 8}",8,6,0.13652597402597402
2004-02-13,vajpayee meets sai baba,"puttaparthi (andhra pradesh), february 12 prime minister atal bihari vajpayee had an one-hour-long audience with spiritual leader sai baba, the second during his two-day visit to this spiritual town, before emplaning for delhi this morning.official sources said mr vajpayee met sai baba at his abode, prashanti nilayam, where the prime minister stayed overnight and had a 15-minute audience soon after his arrival amidst unprecedented security here yesterday.in the wake of the activities of the outlawed pwg in ananthpur district, the police had sanitised the entire route from the airport to prashanti nilayam. bomb disposal squads were deployed and round-the-clock patrol held as a part of the beefed-up security.  pti puttaparthi (andhra pradesh), february 12 prime minister atal bihari vajpayee had an one-hour-long audience with spiritual leader sai baba, the second during his two-day visit to this spiritual town, before emplaning for delhi this morning.official sources said mr vajpayee met sai baba at his abode, prashanti nilayam, where the prime minister stayed overnight and had a 15-minute audience soon after his arrival amidst unprecedented security here yesterday.in the wake of the activities of the outlawed pwg in ananthpur district, the police had sanitised the entire route from the airport to prashanti nilayam. bomb disposal squads were deployed and round-the-clock patrol held as a part of the beefed-up security.  pti ",vajpayee meets sai baba,"puttaparthi ( andhra pradesh ) , february 12 prime minister atal bihari vajpayee one-hour-long audience spiritual leader sai baba , second two-day visit spiritual town , emplaning delhi morning.official sources said mr vajpayee met sai baba abode , prashanti nilayam , prime minister stayed overnight 15-minute audience soon arrival amidst unprecedented security yesterday.in wake activities outlawed pwg ananthpur district , police sanitised entire route airport prashanti nilayam. bomb disposal squads deployed round-the-clock patrol held part beefed-up security.  pti puttaparthi ( andhra pradesh ) , february 12 prime minister atal bihari vajpayee one-hour-long audience spiritual leader sai baba , second two-day visit spiritual town , emplaning delhi morning.official sources said mr vajpayee met sai baba abode , prashanti nilayam , prime minister stayed overnight 15-minute audience soon arrival amidst unprecedented security yesterday.in wake activities outlawed pwg ananthpur district , police sanitised entire route airport prashanti nilayam. bomb disposal squads deployed round-the-clock patrol held part beefed-up security.  pti","{'bjp': 0, 'cong': 0}",0,0,0.12
2004-02-17,n-proliferation worries eu ," new delhi, february 16 the issue of nuclear proliferation came up during indo-european union talks during which the eu expressed concern over the menace and asked all countries to act responsibly in ensuring that weapons of mass destruction (wmd) did not fall into the hands of terrorists.the eu troika was led by irish minister for foreign affairs brian cowen, accompanied by dutch minister for foreign affairs bernard r. bot. the political dialogue meetings concentrated on bilateral relations, regional issues and international concerns.european commissioner for external relations chris patten voiced eus concern on nuclear proliferation at a press conference here in response to a question. all of us are interested that all countries show restraint in this area, mr patten said.asked whether there was need to review the nuclear non-proliferation treaty (npt) in the backdrop of reports of leak by pakistani nuclear scientists, he said the eu was not in favour of this.mr patten acknowledged differences between india and the eu on the npt, saying that we have differences. either side is not going to change its position. all of us are interested in cooperating and acting responsibly. it is a dangerous problem.mr patten will leave tonight for afghanistan and thereafter will visit pakistan.the eu troika leaders met external affairs minister yashwant sinha and finance minister jaswant singh.mr patten said given the comfortable foreign exchange reserves, indian companies should plan bigger investments in europe. the indian government should facilitate this process.other issues which came up during discussions today included the proposed 33 million euro assistance to india which will enable a much larger intake of students from india into european universities. an agreement in this regard is to be signed later.indias participation in the galileo project on global positioning and navigation also came up during the talks. about the meeting with the eu troika, mr sinha said the two sides were exploring the possibility of taking their cooperation in the fight against terrorism to a higher strata through agency-level interaction with europol.he said the establishment of the indo-eu joint working group (jwg) on terrorism was a natural culmination of their common commitment in the fight against terrorism. ",n-proliferation worries eu,"new delhi , february 16 issue nuclear proliferation came indo-european union talks eu expressed concern menace asked countries act responsibly ensuring weapons mass destruction ( wmd ) fall hands terrorists.the eu troika led irish minister foreign affairs brian cowen , accompanied dutch minister foreign affairs bernard r. bot. political dialogue meetings concentrated bilateral relations , regional issues international concerns.european commissioner external relations chris patten voiced eus concern nuclear proliferation press conference response question. all us interested countries show restraint area ,  mr patten said.asked whether need review nuclear non-proliferation treaty ( npt ) backdrop reports leak pakistani nuclear scientists , said eu favour this.mr patten acknowledged differences india eu npt , saying we differences. either side going change position. us interested cooperating acting responsibly. dangerous problem.mr patten leave tonight afghanistan thereafter visit pakistan.the eu troika leaders met external affairs minister yashwant sinha finance minister jaswant singh.mr patten said given comfortable foreign exchange reserves , indian companies plan bigger investments europe. indian government facilitate process.other issues came discussions today included proposed 33 million euro assistance india enable much larger intake students india european universities. agreement regard signed later.indias participation galileo project global positioning navigation also came talks. meeting eu troika , mr sinha said two sides exploring possibility taking cooperation fight terrorism higher strata agency-level interaction europol.he said establishment indo-eu joint working group ( jwg ) terrorism natural culmination common commitment fight terrorism.","{'bjp': 0, 'cong': 0}",0,0,0.014152892561983476
2004-02-19,red alert in roorkee ," roorkee, february 18 following the dramatic escape of sher singh rana, the main accused in the phoolan devi murder case, from tihar jail yesterday a red alert has been sounded in the district and the border of uttar pradesh with uttaranchal has been sealed.rana is a resident of roorkee. the ssp, mr ashok kumar, told the tribune that security had been beefed up at the residence of uma kashyap, a key witness in the phoolan devi murder case. the police sources said three special teams of the local police, the local intelligence unit and the special operation group had been constituted to keep a close watch on the situation.meanwhile, a special team of the crime branch of delhi police has also reached roorkee. ",red alert roorkee,"roorkee , february 18 following dramatic escape sher singh rana , main accused phoolan devi murder case , tihar jail yesterday red alert sounded district border uttar pradesh uttaranchal sealed.rana resident roorkee. ssp , mr ashok kumar , told tribune security beefed residence uma kashyap , key witness phoolan devi murder case. police sources said three special teams local police , local intelligence unit special operation group constituted keep close watch situation.meanwhile , special team crime branch delhi police also reached roorkee.","{'bjp': 0, 'cong': 0}",0,0,0.06406926406926408
2004-02-28,"bjp leader killed, railway tracks blown up during bandh and agencies"," and agencies patna, february 27 banned peoples war group and maoist communist centre extremists triggered blasts, damaging government property and paralysing railway services on the howrah-new delhi route in bihar during their bandh in the state and jharkhand today against alleged police atrocities. however, no casualties were reported from either of the states where security has been beefed up and central paramilitary forces deployed in view of the 24-hour bandh.heavily armed ultras struck in bihar, completely disrupting movement of trains on the mughalsarai-patna section of east central railway, a railways spokesman said.mcc and pwg ultras set off explosions and badly damaged ankorha railway station and cabin on the mughalsarai-patna section of east central railway early today. they also blew up tracks near the station and a culvert, completely disrupting the movement of trains on the section, he said.the day-long peoples war bandh evoked poor response in andhra pradesh today even as the outlawed ultras gunned down a local bjp leader. n. shankar, who was the partys dharmaram mandal secretary, was shot dead at his native medaram village.the pw and maoists communist centre had called for a day-long bandh in nine states  jharkhand, bihar, chhattisgarh, west bengal, orissa, uttar pradesh, madhya pradesh and maharashtra  to protest police attrocities on their cadres and fake encounters.shankar was riding a two-wheeler when two armed men on a cycle intercepted him and shot him dead. he was a close associate of union minister ch vidyasagar rao.the pw had warned the followers of the union minister to quit the bjp, failing which they would be made the targets of action teams. the outfit had threatened to attack even mr rao and cautioned his followers not to travel with the him.in jharkhand, the extremists attacked dania and dasra railway stations in dhanbad division, throwing train services out of gear on barkakhana-garwa road, garwah road-sonnagar and garwah road-chappan, railway sources said. kolkata: according to reports reaching here, the extremists used rdx and landmines in blowing up some 430 km of railway tracks at paraiya (near gaya), darra (close to kodarma) and ankorha (near garwa).however, the bandh in the extremist-infested midnapore, purulia, bankura and birbhum areas did not have much impact, state police chief, d. bajpayee said. ","bjp leader killed , railway tracks blown bandh agencies","agencies patna , february 27 banned peoples war group maoist communist centre extremists triggered blasts , damaging government property paralysing railway services howrah-new delhi route bihar bandh state jharkhand today alleged police atrocities. however , casualties reported either states security beefed central paramilitary forces deployed view 24-hour bandh.heavily armed ultras struck bihar , completely disrupting movement trains mughalsarai-patna section east central railway , railways spokesman said.mcc pwg ultras set explosions badly damaged ankorha railway station cabin mughalsarai-patna section east central railway early today. also blew tracks near station culvert , completely disrupting movement trains section , said.the day-long peoples war bandh evoked poor response andhra pradesh today even outlawed ultras gunned local bjp leader. n. shankar , partys dharmaram mandal secretary , shot dead native medaram village.the pw maoists communist centre called day-long bandh nine states  jharkhand , bihar , chhattisgarh , west bengal , orissa , uttar pradesh , madhya pradesh maharashtra  protest police attrocities cadres fake encounters.shankar riding two-wheeler two armed men cycle intercepted shot dead. close associate union minister ch vidyasagar rao.the pw warned followers union minister quit bjp , failing would made targets action teams. outfit threatened attack even mr rao cautioned followers travel him.in jharkhand , extremists attacked dania dasra railway stations dhanbad division , throwing train services gear barkakhana-garwa road , garwah road-sonnagar garwah road-chappan , railway sources said. kolkata : according reports reaching , extremists used rdx landmines blowing 430 km railway tracks paraiya ( near gaya ) , darra ( close kodarma ) ankorha ( near garwa ) .however , bandh extremist-infested midnapore , purulia , bankura birbhum areas much impact , state police chief , d. bajpayee said.","{'bjp': 2, 'cong': 0}",0,2,-0.047530864197530845
