Date,Title,Article,clean title,clean article,polarity,cong,bjp,senti
2014-11-05,fm promises easy land acquisition,"quote this time, there will be divestment as some important public undertakings are on the verge of closure. but on foreign investment, decisions will be made sector-wise, keeping in mind the requirements of indian economy and the appetite of the political system for reform. arun jaitley, fm box policy stability a must: fm *jaitley said india needs to ensure that there is stability of policy, including in taxation, so that global investors can come in ; *we need to open the door wide open so that people can come in. we need to ensure that there is stability of policy, there is stability of taxation policy, and therefore we have to disagree with a lot of things that happened in the past,"" he said *the fm said the country needs world class infrastructure and avenues should be provided to people for doing business and making profits strap: promises more reforms, divestment of loss-making psus  new delhi, november 5 finance minister arun jaitley today said the government will remove all bottlenecks in the land acquisition process to set up smart cities and is open to selling loss-making public sector undertakings (psus). “reforms are not about a few big bang ideas,” said jaitley, kicking off the two-day india economic summit organised by the geneva-based world economic forum in new delhi. asserting that the country needed to doggedly pursue the reforms agenda despite challenges, jaitley said the union government’s actions were aimed at eliminating discretion. he gave the example of the coal ordinance by which rules had been framed for allocation of mining licences, first to the state sector and then to actual users through e-auction. commercial mining by private investors is also envisaged, jaitley said while interacting with klaus schwab, founder and executive chairman, world economic forum. the finance minister said similar reforms were being planned for other minerals. on land acquisition laws, jaitley said the government was looking at changing some ‘illogical provisions’. ""there are some illogical provisions (in land acquisition act) like land can’t be used or acquired under this law for private hospitals and schools... there are some factors in it, which certainly require a re-look,"" he said, adding that such provisions would make it difficult to build smart cities being proposed by the government. the focus, he said, is to make the entire process smoother. on privatisation and greater access to foreign investors, he said the government was currently following the approach of divestment rather than outright privatisation. jaitley said he was okay with loss-making public sector units being sold off. referring to the need for labour reforms, jaitley said some aspects of the labour laws in india can certainly be improved and rationalised. ""this is an area where we will have to have a much larger consideration... some people will certainly have reservation on this issue. will i be able to immediately get it passed in parliament? i am not in a position to comment,"" he said. the government needs to convince people that a flexible policy will create more jobs, said the finance minister. he said it is far more challenging to implement reforms in a developing society, as public opinion cannot be confronted. jaitley also noted that india was off the global radar for 2-3 years and the retrospective taxation was ""one bad idea"" that damaged the economy. the fm said the government's decision to further open defence and railways to foreign investment is evoking interest from investors. ""if the initial experiment succeeds, we can open up a lot more,"" the minister said. he expressed hope that the long-pending insurance amendment bill, that seeks to raise fdi in the sector from existing 26% to 49%, will get parliament nod in the upcoming winter session. on a question about subsidies, jaitley said petrol and diesel prices have already been de-controlled, and an expenditure management commission has been appointed to look into rationalisation of subsidies. nevertheless, he said, subsidies will not be eliminated completely as some sections of indian economy and people will always need support.(with agency inputs) ",fm promises easy land acquisition,"quote time , divestment important public undertakings verge closure. foreign investment , decisions made sector-wise , keeping mind requirements indian economy appetite political system reform. arun jaitley , fm box policy stability must : fm *jaitley said india needs ensure stability policy , including taxation , global investors come ; *we need open door wide open people come in. need ensure stability policy , stability taxation policy , therefore disagree lot things happened past , "" said *the fm said country needs world class infrastructure avenues provided people business making profits strap : promises reforms , divestment loss-making psus new delhi , november 5 finance minister arun jaitley today said government remove bottlenecks land acquisition process set smart cities open selling loss-making public sector undertakings ( psus ) . “reforms big bang ideas , ” said jaitley , kicking two-day india economic summit organised geneva-based world economic forum new delhi. asserting country needed doggedly pursue reforms agenda despite challenges , jaitley said union government ’ actions aimed eliminating discretion. gave example coal ordinance rules framed allocation mining licences , first state sector actual users e-auction. commercial mining private investors also envisaged , jaitley said interacting klaus schwab , founder executive chairman , world economic forum. finance minister said similar reforms planned minerals. land acquisition laws , jaitley said government looking changing ‘illogical provisions ’ . "" illogical provisions ( land acquisition act ) like land ’ used acquired law private hospitals schools ... factors , certainly require re-look , "" said , adding provisions would make difficult build smart cities proposed government. focus , said , make entire process smoother. privatisation greater access foreign investors , said government currently following approach divestment rather outright privatisation. jaitley said okay loss-making public sector units sold off. referring need labour reforms , jaitley said aspects labour laws india certainly improved rationalised. "" area much larger consideration ... people certainly reservation issue. able immediately get passed parliament ? position comment , "" said. government needs convince people flexible policy create jobs , said finance minister. said far challenging implement reforms developing society , public opinion cannot confronted. jaitley also noted india global radar 2-3 years retrospective taxation "" one bad idea "" damaged economy. fm said government ' decision open defence railways foreign investment evoking interest investors. "" initial experiment succeeds , open lot , "" minister said. expressed hope long-pending insurance amendment bill , seeks raise fdi sector existing 26 % 49 % , get parliament nod upcoming winter session. question subsidies , jaitley said petrol diesel prices already de-controlled , expenditure management commission appointed look rationalisation subsidies. nevertheless , said , subsidies eliminated completely sections indian economy people always need support.( agency inputs )","{'bjp': 0, 'cong': 0}",0,0,0.09364564007421149
2014-12-01,"after striking success, govt sets ambitious agenda","k v prasadnew delhi, november 30having struck success in pushing key labour reform bills in the first week of the winter session of parliament, the bjp-led nda government is gearing up to press for more and test waters over the next three weeks to bring in more. the key, however, will be wearing down resistance to bill to raise fdi limit in insurance.the manner in which the government managed to secure an extension from the rajya sabha to submit the report by the select committee by december 12, the climb appears steep what with the strong case made by the opposition on the procedure adopted in seeking extra time.set up during the last session after the congress-led opposition stonewalled attempts by the government to have the bill passed allowing the fdi limit to be raised from 26 per cent to 49 per cent, the select committee headed by chandan mitra (bjp) had time till november 28 to submit its report. ;with two of its members inducted into the council of ministers, the vacancies could be filled only when the rajya sabha recommenced its sitting on november 25. now with v p singh badanore and rangasayee ramakrishna (both bjp) coming in, scrutiny work can begin.the 15-member committee has six members of the opposition -- three from the congress, and one each from the janata dal (united), the samajwadi party and the communist party of india (marxist) who can be expected to work in a coordinated manner. the opposition strategy is to avoid attempts to push the legislation in a hurry.others in the committee include one member each from the aiadmk, the bsp, the trinamool and the bjd, besides an independent, rajeev chandrasekhar whose position will become crucial for the work to be completed in time. the rules require that at least one-third of the members have to be present for the quorum.in an attempt to take the opposition along, the government agreed that every week the houses can discuss one calling attention motion and one short duration discussion on issues of urgent and public importance.legislative business proposed by the government for this week includes introduction, consideration and passing of the textile undertakings (nationalisation) laws (amendment and validation) bill to replace an ordinance, the merchant shipping (amendment) bill and the merchant shipping (second amendment) bill and supplementary demands for grants and concerned appropriation bill, in both the houses.the rajya sabha is scheduled to take up the indian institutes of information technology bill, the constitution scheduled castes order (amendment) bill and the central universities (amendment) bill already passed by the lok sabha.the coal mines allocation special provisions bill to replace an ordinance, anti-hijacking bill, those relating to repeal of the antiquated laws and legislative councils of tamil nadu and assam and the school of planning and architecture bill are also on the government’s legislative agenda. ","striking success , govt sets ambitious agenda","k v prasadnew delhi , november 30having struck success pushing key labour reform bills first week winter session parliament , bjp-led nda government gearing press test waters next three weeks bring more. key , however , wearing resistance bill raise fdi limit insurance.the manner government managed secure extension rajya sabha submit report select committee december 12 , climb appears steep strong case made opposition procedure adopted seeking extra time.set last session congress-led opposition stonewalled attempts government bill passed allowing fdi limit raised 26 per cent 49 per cent , select committee headed chandan mitra ( bjp ) time till november 28 submit report. ; two members inducted council ministers , vacancies could filled rajya sabha recommenced sitting november 25. v p singh badanore rangasayee ramakrishna ( bjp ) coming , scrutiny work begin.the 15-member committee six members opposition -- three congress , one janata dal ( united ) , samajwadi party communist party india ( marxist ) expected work coordinated manner. opposition strategy avoid attempts push legislation hurry.others committee include one member aiadmk , bsp , trinamool bjd , besides independent , rajeev chandrasekhar whose position become crucial work completed time. rules require least one-third members present quorum.in attempt take opposition along , government agreed every week houses discuss one calling attention motion one short duration discussion issues urgent public importance.legislative business proposed government week includes introduction , consideration passing textile undertakings ( nationalisation ) laws ( amendment validation ) bill replace ordinance , merchant shipping ( amendment ) bill merchant shipping ( second amendment ) bill supplementary demands grants concerned appropriation bill , houses.the rajya sabha scheduled take indian institutes information technology bill , constitution scheduled castes order ( amendment ) bill central universities ( amendment ) bill already passed lok sabha.the coal mines allocation special provisions bill replace ordinance , anti-hijacking bill , relating repeal antiquated laws legislative councils tamil nadu assam school planning architecture bill also government ’ legislative agenda.","{'bjp': 2, 'cong': 1}",1,2,0.10770502645502644
2014-12-04,govt eases fdi rules for construction sector,"sanjeev sharma  new delhi, december 3 in an overdrive to attract mega dollars, the union government today relaxed norms for foreign direct investment (fdi) in the construction sector which will boost housing and real estate and set up an inter-ministerial panel headed by the industry secretary to fast track investment proposals from the united states. the department of industrial policy and promotion (dipp) today notified the much-awaited norms for fdi in construction sector by reducing the minimum built-up area as well as capital requirement and easing the exit norms. the notification follows the decision taken by the cabinet in october to allow easing of norms. under the policy, 100% fdi in the sector is allowed through automatic route. ; to give a boost to the fdi flows which were not happening in the construction and real estate sector, the government has reduced the minimum floor area to 20,000 sq mt from the earlier 50,000 sq mt. it also brought down the minimum capital requirement to $ 5 million from $ 10 million. this has made it easier for fdi to come into smaller projects since the sector is facing a torrid time and also created the scope for development to take place in urban clusters rather than the outskirts of the city. in case of development of serviced plots, the condition of minimum land of 10 hectares has been completely removed, said the consolidated fdi policy circular 2014. the government today also set up an inter-ministerial committee under the chairmanship of secretary, department of industrial policy & promotion, amitabh kant to fast-track investment proposals from usa and to address the issues related to implementation. this panel is similar to the group set up in the prime minister’s office (pmo) to facilitate investments from japan. this follows the visit of prime minister narendra modi to us and japan recently where he had invited fdi in various sectors into india. the mandate of the committee is to facilitate and fast-track investment from us companies in india. it will identify bottlenecks faced by the us investors in the implementation of their investment proposals and address them in consultation with all other agencies and state governments concerned. in addition, it will look into areas of concern in sectors of interest to us companies to address them. the committee will closely monitor and coordinate the process to ensure that investment from usa are put on fast-track in various sectors and opportunities of investment and technology transfer are fully exploited. the committee will interact with us companies, ministries and departments of the government and the state governments to facilitate us investment. ",govt eases fdi rules construction sector,"sanjeev sharma new delhi , december 3 overdrive attract mega dollars , union government today relaxed norms foreign direct investment ( fdi ) construction sector boost housing real estate set inter-ministerial panel headed industry secretary fast track investment proposals united states. department industrial policy promotion ( dipp ) today notified much-awaited norms fdi construction sector reducing minimum built-up area well capital requirement easing exit norms. notification follows decision taken cabinet october allow easing norms. policy , 100 % fdi sector allowed automatic route. ; give boost fdi flows happening construction real estate sector , government reduced minimum floor area 20,000 sq mt earlier 50,000 sq mt. also brought minimum capital requirement $ 5 million $ 10 million. made easier fdi come smaller projects since sector facing torrid time also created scope development take place urban clusters rather outskirts city. case development serviced plots , condition minimum land 10 hectares completely removed , said consolidated fdi policy circular 2014. government today also set inter-ministerial committee chairmanship secretary , department industrial policy &amp; promotion , amitabh kant fast-track investment proposals usa address issues related implementation. panel similar group set prime minister ’ office ( pmo ) facilitate investments japan. follows visit prime minister narendra modi us japan recently invited fdi various sectors india. mandate committee facilitate fast-track investment us companies india. identify bottlenecks faced us investors implementation investment proposals address consultation agencies state governments concerned. addition , look areas concern sectors interest us companies address them. committee closely monitor coordinate process ensure investment usa put fast-track various sectors opportunities investment technology transfer fully exploited. committee interact us companies , ministries departments government state governments facilitate us investment.","{'bjp': 0, 'cong': 0}",0,0,0.03122400475341652
2014-12-09,tmc to oppose fdi in insurance sector,"new delhi, december 9 terming the insurance bill as ‘anti-people', the trinamool congress (tmc) on tuesday said that the party will strongly oppose fdi in the insurance sector. “we will keep fighting this bill because we believe that it is anti-people. today we are giving a strong dissent note, we have heard that even sp, cpi (m), jd (u) and other parties are also giving dissent note. i don't know about other parties but trinamool will strongly oppose fdi in insurance sector,” tmc national spokesperson derek o'brien told ani here. the bjp, however, had earlier in the day said that the party was hopeful that the bill will be passed in the current session of the parliament. the insurance bill, which was heavily debated during the monsoon session of the parliament in august, was sent to a select committee of the rajya sabha, after the government was unable to garner the opposition's support for it. the insurance bill proposes to increase foreign direct investment (fdi) limit in the insurance sector to 49 percent from the existing 26 percent. various parties, including the cpi (m), the trinamool congress, the jd (u), the rjd and the samajwadi party have earlier opposed the bill. — ani ",tmc oppose fdi insurance sector,"new delhi , december 9 terming insurance bill ‘anti-people ' , trinamool congress ( tmc ) tuesday said party strongly oppose fdi insurance sector. “we keep fighting bill believe anti-people. today giving strong dissent note , heard even sp , cpi ( ) , jd ( u ) parties also giving dissent note. ' know parties trinamool strongly oppose fdi insurance sector , ” tmc national spokesperson derek ' brien told ani here. bjp , however , earlier day said party hopeful bill passed current session parliament. insurance bill , heavily debated monsoon session parliament august , sent select committee rajya sabha , government unable garner opposition ' support it. insurance bill proposes increase foreign direct investment ( fdi ) limit insurance sector 49 percent existing 26 percent. various parties , including cpi ( ) , trinamool congress , jd ( u ) , rjd samajwadi party earlier opposed bill. — ani","{'bjp': 1, 'cong': 2}",2,1,0.03295454545454545
2014-12-09,"sadhvi impasse over, rs resumes working","vibha sharma  new delhi, december 8 the nda government today received double relief as winter session of parliament entered into its third week today. it week-long logjam was broken in the rajya sabha as the opposition settled for a statement by chairman hamid ansari to end protests over the “abusive minister” sadhvi niranjan jyoti while the stage appears to be also set for presentation of a “key economic reform” bill proposing to raise the foreign direct investment (fdi) ceiling in insurance to 49 per cent from the current 26 per cent. ; government functionaries said the opposition, barring the trinamool congress and left parties, favoured raising the investment ceiling to 49 per cent (including for portfolio investors). now that the rajya sabha had started functioning normally, the bill is likely to be presented in the house soon, they say. even though the rajya sabha again opened to notes of protests by opposition leaders, resulting in three adjournments in the first one-and-a-half hour, order returned after ansari made a fresh appeal on behalf of the house to “all members of parliament, ministers and leaders of all political parties to maintain civility at all costs in public discourse”. “this house, while acknowledging the statement of prime minister, made in this house on the 4th of december, appeals to all members of parliament, ministers and leaders of all political parties to maintain civility at all costs in public discourse, for the successful functioning of parliamentary democracy and to uphold our commitment to constitutional values,” he said. bjp sources say the government and opposition leaders agreed to a “compromise formula” during a meeting with ansari where it was decided that he would endorse the prime minister’s statement to end the impasse. both sides wanted a “way out”, especially after the prime minister’s statement failed to bear the desired results with the opposition refusing to utilise the ""exit route"" provided to it. “there is a limit to everything and this issue had long surpassed it,” the bjp leaders said. notably, the entire last week was lost — first to vociferous demands for the abusive sadhvi’s resignation, which was later mellowed to a censor motion against her and eventually “scaled-down” to a resolution. both sides claimed victory. according to opposition leaders, had the government agreed to this earlier, it could have saved precious time of parliament which could have been utilised for legislative business. as per the bjp leaders, the issue ""fizzled out"" because the “steam had run out of it”. incidentally, the sadhvi is continuing with her election meetings in delhi. earlier, when the house met for the day, deputy leader of congress anand sharma called for moving a resolution condemning controversial remarks by any minister or member but it did not name jyoti. endorsed by nine parties, namely the congress, the tmc, the sp, the bsp, the jd-u, the cpi, the cpm, the dmk and the ncp, it read, ""this house disapproves any statement made by any member of parliament and any member of the union council of ministers that is inflammatory, derogatory and violates the letter and spirit of the constitution and the law of the land"", it was not accepted by the government. ","sadhvi impasse , rs resumes working","vibha sharma new delhi , december 8 nda government today received double relief winter session parliament entered third week today. week-long logjam broken rajya sabha opposition settled statement chairman hamid ansari end protests “abusive minister ” sadhvi niranjan jyoti stage appears also set presentation “key economic reform ” bill proposing raise foreign direct investment ( fdi ) ceiling insurance 49 per cent current 26 per cent. ; government functionaries said opposition , barring trinamool congress left parties , favoured raising investment ceiling 49 per cent ( including portfolio investors ) . rajya sabha started functioning normally , bill likely presented house soon , say. even though rajya sabha opened notes protests opposition leaders , resulting three adjournments first one-and-a-half hour , order returned ansari made fresh appeal behalf house “all members parliament , ministers leaders political parties maintain civility costs public discourse ” . “this house , acknowledging statement prime minister , made house 4th december , appeals members parliament , ministers leaders political parties maintain civility costs public discourse , successful functioning parliamentary democracy uphold commitment constitutional values , ” said. bjp sources say government opposition leaders agreed “compromise formula ” meeting ansari decided would endorse prime minister ’ statement end impasse. sides wanted “way ” , especially prime minister ’ statement failed bear desired results opposition refusing utilise "" exit route "" provided it. “there limit everything issue long surpassed , ” bjp leaders said. notably , entire last week lost — first vociferous demands abusive sadhvi ’ resignation , later mellowed censor motion eventually “scaled-down ” resolution. sides claimed victory. according opposition leaders , government agreed earlier , could saved precious time parliament could utilised legislative business. per bjp leaders , issue "" fizzled "" “steam run ” . incidentally , sadhvi continuing election meetings delhi. earlier , house met day , deputy leader congress anand sharma called moving resolution condemning controversial remarks minister member name jyoti. endorsed nine parties , namely congress , tmc , sp , bsp , jd-u , cpi , cpm , dmk ncp , read , "" house disapproves statement made member parliament member union council ministers inflammatory , derogatory violates letter spirit constitution law land "" , accepted government.","{'bjp': 3, 'cong': 3}",3,3,0.0842375366568915
2014-12-10,parliamentary panel pitches for 49 pc foreign investment cap,"new delhi, december 10 a parliamentary committee on wednesday recommended a composite foreign investment cap of 49 per cent in the insurance sector and supported a government bill to amend the act. at present, a limit of 26 per cent is allowed only through the fdi route. “the committee recommends that the composite cap of 49 per cent should be inclusive of all forms of foreign direct investment and foreign portfolio investments,” said the report tabled in the rajya sabha. the rajya sabha had in august appointed a 15-member select committee to scrutinise the long pending insurance laws (amendment) bill, 2008. the bill was held up for nearly six years on account of political differences. the government is likely to bring the bill for consideration of the upper house as early as next week. the panel report, however, contains dissent notes from four members — p rajeev (cpi-m), derek o’brien (tmc), ram gopal yadav (sp) and k c tyagi (jdu). the panel, headed by rajya sabha mp chandan mitra, has suggested inclusion of a person from the insurance industry in the securities appellate tribunal as an expert. it has recommended suitable amendment to the securities and exchange board of india act for the inclusion. the panel also recommended that penalties on insurance companies be linked to seriousness of offences committed by them. it has suggested mechanism to ensure that there is minimum scope for subjective interpretation. the standing committee on finance headed by senior bjp leader yashwant sinha in 2011 had rejected the proposal to hike fdi to 49 per cent in the insurance sector, saying it may not have the desired effect and could expose the economy to global vulnerability. — pti",parliamentary panel pitches 49 pc foreign investment cap,"new delhi , december 10 parliamentary committee wednesday recommended composite foreign investment cap 49 per cent insurance sector supported government bill amend act. present , limit 26 per cent allowed fdi route. “the committee recommends composite cap 49 per cent inclusive forms foreign direct investment foreign portfolio investments , ” said report tabled rajya sabha. rajya sabha august appointed 15-member select committee scrutinise long pending insurance laws ( amendment ) bill , 2008. bill held nearly six years account political differences. government likely bring bill consideration upper house early next week. panel report , however , contains dissent notes four members — p rajeev ( cpi-m ) , derek ’ brien ( tmc ) , ram gopal yadav ( sp ) k c tyagi ( jdu ) . panel , headed rajya sabha mp chandan mitra , suggested inclusion person insurance industry securities appellate tribunal expert. recommended suitable amendment securities exchange board india act inclusion. panel also recommended penalties insurance companies linked seriousness offences committed them. suggested mechanism ensure minimum scope subjective interpretation. standing committee finance headed senior bjp leader yashwant sinha 2011 rejected proposal hike fdi 49 per cent insurance sector , saying may desired effect could expose economy global vulnerability. — pti","{'bjp': 1, 'cong': 0}",0,1,0.035085227272727275
2014-12-11,"cabinet approves 49% fdi in insurance, rs test next week","sanjeev sharma  new delhi, december 10 the narendra modi government on wednesday in a flurry of decisions encompassing insurance, banking, power sectors unleashed major reforms that will quicken the economic growth in the country. the union cabinet, headed by pm modi, approved the insurance amendment bill with a composite foreign investment cap of 49% for presenting it in parliament, incorporating the changes suggested by a house panel. the rajya sabha is likely to take up the bill for consideration and passage next week. earlier today, the select committee in its report to the rajya sabha had suggested hike in composite foreign investment limit in insurance sector to 49 per cent which would include fdi as well as portfolio investment. currently, only 26% fdi is allowed in private sector insurance companies. the hike in foreign investment limit is estimated to attract about rs 25,000 crore of overseas funds in the sector. in a major boost for the banking sector, the government also allowed public sector banks to raise up to rs 1.60 lakh crore from markets by diluting government holding to 52% in phases so as to meet basel iii capital adequacy norms. “the quantum of capital support needed by banks is huge, which cannot be funded by budgetary support alone,” an official statement said. if the psbs are permitted to bring down the government holding to 52% in a phased manner, they can raise up to rs 1.60 lakh crore from the market. in a major power sector reform, allowing consumers to choose their discoms, the government approved various amendments to the electricity act-2003 as per the proposed electricity (amendment) bill, 2014. the amendments will also promote competition, efficiency in operations and improvement in quality of supply of electricity in the country resulting in capacity addition and ultimate benefit to the consumers. the government also decided to continue interest subvention to psbs, private sector banks, regional rural banks, cooperatives banks and national bank for agriculture and rural development (nabard) to enable them to provide short-term crop loans up to rs.3 lakh to farmers at 7 per annum during 2014-15. six new debt recovery tribunals (drts) have been approved at chandigarh, bengaluru, ernakulam, dehradun, siliguri and hyderabad. a study conducted through indian banks association in consultation with all stakeholders, recommended rationalisation of jurisdiction of some drts and setting up of six more drts. the number of cases pending with drts is over 50,000 and cases are increasing. in a boost for renewable energy, the cabinet approved the scheme for setting up 25 solar parks each with a capacity of 500 mw and above and ultra mega solar power projects in various parts of the country where large chunks of land can be spared for this purpose.","cabinet approves 49 % fdi insurance , rs test next week","sanjeev sharma new delhi , december 10 narendra modi government wednesday flurry decisions encompassing insurance , banking , power sectors unleashed major reforms quicken economic growth country. union cabinet , headed pm modi , approved insurance amendment bill composite foreign investment cap 49 % presenting parliament , incorporating changes suggested house panel. rajya sabha likely take bill consideration passage next week. earlier today , select committee report rajya sabha suggested hike composite foreign investment limit insurance sector 49 per cent would include fdi well portfolio investment. currently , 26 % fdi allowed private sector insurance companies. hike foreign investment limit estimated attract rs 25,000 crore overseas funds sector. major boost banking sector , government also allowed public sector banks raise rs 1.60 lakh crore markets diluting government holding 52 % phases meet basel iii capital adequacy norms. “the quantum capital support needed banks huge , cannot funded budgetary support alone , ” official statement said. psbs permitted bring government holding 52 % phased manner , raise rs 1.60 lakh crore market. major power sector reform , allowing consumers choose discoms , government approved various amendments electricity act-2003 per proposed electricity ( amendment ) bill , 2014. amendments also promote competition , efficiency operations improvement quality supply electricity country resulting capacity addition ultimate benefit consumers. government also decided continue interest subvention psbs , private sector banks , regional rural banks , cooperatives banks national bank agriculture rural development ( nabard ) enable provide short-term crop loans rs.3 lakh farmers 7 per annum 2014-15. six new debt recovery tribunals ( drts ) approved chandigarh , bengaluru , ernakulam , dehradun , siliguri hyderabad. study conducted indian banks association consultation stakeholders , recommended rationalisation jurisdiction drts setting six drts. number cases pending drts 50,000 cases increasing. boost renewable energy , cabinet approved scheme setting 25 solar parks capacity 500 mw ultra mega solar power projects various parts country large chunks land spared purpose .","{'bjp': 0, 'cong': 0}",0,0,0.04784451659451659
2014-12-11,insurance bill: cong support crucial in rs,"vibha sharma  new delhi, december 10 the narendra modi government's ambitious insurance amendment bill that proposes to raise the foreign direct investment (fdi) in the sector to 49% from the? current 26% is now just a couple of steps away from becoming a reality. the parliamentary select committee today endorsed the long-pending insurance laws (amendment) bill, 2008, and hours later the cabinet also cleared it, thus paving the way for it to be tabled in parliament on monday. sources said the cabinet approved the bill incorporating the changes suggested by a house panel. though the left and tmc members voiced dissent, considering that the congress' suggestions, primarily a composite cap on overseas investments, has been incorporated in the amended version the legislation is now expected to sail through the rajya sabha, where the bjp government is in minority. notably, the congress support for the bill is crucial as the ruling nda does not have a majority in the upper house. congress spokesperson abhishek manu singhvi said most of the concerns expressed by the party had been addressed by the select committee, their final stand would depend on the content of the draft finally introduced. ""we won't have any objection in principal. the bill is our baby. but our support to the bjp's version of the bill would depend on the shape the baby takes before the house,"" he said indicating that the congress was on board. the legislation recommends a composite foreign investment cap of 49 per cent which would include fdi and portfolio investment, to attract higher participation of foreign entities and investment. currently only 26 per cent fdi is allowed in private sector insurance companies. while the hike in foreign investment limit is estimated to attract about rs 25,000 crore of overseas funds in the sector, sources say the bill also aims benefit the customers through simpler products, more transparency on features, less dependence on insurance agents and faster claims settlement. however, the bill, which has been pending since 2008, is expected to face resistance from some non-congress opposition parties opposing further opening of the insurance sector to foreign investment. the report contains dissent notes from four members-p rajeev (cpm), derek o'brien (tmc), ram gopal yadav (sp) and kc tyagi (jdu).",insurance bill : cong support crucial rs,"vibha sharma new delhi , december 10 narendra modi government ' ambitious insurance amendment bill proposes raise foreign direct investment ( fdi ) sector 49 % ? current 26 % couple steps away becoming reality. parliamentary select committee today endorsed long-pending insurance laws ( amendment ) bill , 2008 , hours later cabinet also cleared , thus paving way tabled parliament monday. sources said cabinet approved bill incorporating changes suggested house panel. though left tmc members voiced dissent , considering congress ' suggestions , primarily composite cap overseas investments , incorporated amended version legislation expected sail rajya sabha , bjp government minority. notably , congress support bill crucial ruling nda majority upper house. congress spokesperson abhishek manu singhvi said concerns expressed party addressed select committee , final stand would depend content draft finally introduced. "" ' objection principal. bill baby. support bjp ' version bill would depend shape baby takes house , "" said indicating congress board. legislation recommends composite foreign investment cap 49 per cent would include fdi portfolio investment , attract higher participation foreign entities investment. currently 26 per cent fdi allowed private sector insurance companies. hike foreign investment limit estimated attract rs 25,000 crore overseas funds sector , sources say bill also aims benefit customers simpler products , transparency features , less dependence insurance agents faster claims settlement. however , bill , pending since 2008 , expected face resistance non-congress opposition parties opposing opening insurance sector foreign investment. report contains dissent notes four members-p rajeev ( cpm ) , derek ' brien ( tmc ) , ram gopal yadav ( sp ) kc tyagi ( jdu ) .","{'bjp': 2, 'cong': 4}",4,2,0.07758136924803592
2014-12-13,bjp brass upset over race to appease rss,vibha sharma ,bjp brass upset race appease rss,vibha sharma,"{'bjp': 0, 'cong': 0}",0,0,0.0
2014-12-14,"govt to push insurance, coal bills","kv prasad  new delhi, december 13 with the winter session of parliament entering its penultimate week on monday, the bjp-led nda government wants to go all out to push important legislation, including the much-awaited bill signaling economic reforms – raising the fdi in insurance sector to 49 per cent. finance minister arun jaitley, who is emerging as the key minister in taking forward the government agenda, has his hands full with the insurance bill listed for consideration and passage in the rajya sabha on tuesday, a day after he would have brought up the appropriations bill seeking additional funds. ; passage of the insurance amendment bill is expected to be smooth considering the opposition congress having stated its support with a rider that provided the government accepts its suggestions. during the budget session, the congress-led opposition, which enjoys numerical superiority in the rajya sabha, forced the government to refer the bill to a select panel for scrutiny. the panel presented its report last week with representatives of four parties — the cpm, jd-u, sp and the tmc — submitting notes of dissent. the collective strength of the four parties is 48 and the cpi with two is expected to vote with them. the rjd and jd-s, now part of the re-uniting janata parivar, have one member each which effectively pushes the number of the group to 52. the government would like to have a new insurance law in place and showcase its commitment to re-energise the reforms process in the country ahead of scheduled visit of us president barack obama. though the parliamentary managers may not have to stretch for the passage of the bill, the woes of the bjp-led government can compound with tmc chief mamata banerjee announcing today her party mps will protest in parliament centre’s “political vendetta” in arresting west bengal minister madan mitra. the finance minister is scheduled to move yet another reform bill to amend the companies act in the lok sabha while minister piyush goel would seek to get nod from parliament for the coal bill passed by the lok sabha on friday. the bill, which replaces an ordinance, clears the passage for fresh auction of over 200 coal blocks de-allocated by the supreme court. in the rajya sabha, the business advisory committee also allocated time for consideration of the anti-hijacking (amendment) bill, 2010, and the public premises bill, 2014, and to take up two motions relating to annulment and modification of the central government’s notification of december 2, seeking to increase the basic excise duty on petrol and diesel, which will once again test the strength of the government. despite disruptions, the current session is headed for a record performance in transaction of legislative business. the lok sabha has already passed 13 bills in the first three weeks and the rajya sabha cleared nine of them.","govt push insurance , coal bills","kv prasad new delhi , december 13 winter session parliament entering penultimate week monday , bjp-led nda government wants go push important legislation , including much-awaited bill signaling economic reforms – raising fdi insurance sector 49 per cent. finance minister arun jaitley , emerging key minister taking forward government agenda , hands full insurance bill listed consideration passage rajya sabha tuesday , day would brought appropriations bill seeking additional funds. ; passage insurance amendment bill expected smooth considering opposition congress stated support rider provided government accepts suggestions. budget session , congress-led opposition , enjoys numerical superiority rajya sabha , forced government refer bill select panel scrutiny. panel presented report last week representatives four parties — cpm , jd-u , sp tmc — submitting notes dissent. collective strength four parties 48 cpi two expected vote them. rjd jd-s , part re-uniting janata parivar , one member effectively pushes number group 52. government would like new insurance law place showcase commitment re-energise reforms process country ahead scheduled visit us president barack obama. though parliamentary managers may stretch passage bill , woes bjp-led government compound tmc chief mamata banerjee announcing today party mps protest parliament centre ’ “political vendetta ” arresting west bengal minister madan mitra. finance minister scheduled move yet another reform bill amend companies act lok sabha minister piyush goel would seek get nod parliament coal bill passed lok sabha friday. bill , replaces ordinance , clears passage fresh auction 200 coal blocks de-allocated supreme court. rajya sabha , business advisory committee also allocated time consideration anti-hijacking ( amendment ) bill , 2010 , public premises bill , 2014 , take two motions relating annulment modification central government ’ notification december 2 , seeking increase basic excise duty petrol diesel , test strength government. despite disruptions , current session headed record performance transaction legislative business. lok sabha already passed 13 bills first three weeks rajya sabha cleared nine .","{'bjp': 0, 'cong': 1}",1,0,0.12363636363636359
