Date,Title,Article,clean title,clean article,polarity,cong,bjp,senti
2009-08-13,unique i-card for poor ," new delhi, august 12 prime minister manmohan singh said today high priority would be accorded to the newly constituted unique identification authority of india (uidai) that would provide a single identity number and card to 1.17 billion people and that it would benefit the poor in particular.speaking at the first meeting of the council that will advise the uidai, the prime minister pointed out, providing identities to the poor and the marginalised will enhance their access to the government services, both at the state level and the centre and will enable delivery of direct benefits to the poor and under-served. ",unique i-card poor,"new delhi , august 12 prime minister manmohan singh said today high priority would accorded newly constituted unique identification authority india ( uidai ) would provide single identity number card 1.17 billion people would benefit poor particular.speaking first meeting council advise uidai , prime minister pointed , providing identities poor marginalised enhance access government services , state level centre enable delivery direct benefits poor under-served.","{'bjp': 0, 'cong': 0}",0,0,-0.011370129870129874
2009-10-22,uidai to set up regional office at hyderabad suresh dharur ," suresh dharur hyderabad, october 21 the unique identification authority of india (uidai), which has taken up the unique identification number (uid) project, will establish a regional office in hyderabad, its chairman nandan nilekani said today.the uidai looks up to andhra pradesh to be the role model for other states in implementing the uid project and integrating it with the existing data, nilekani told reporters after meeting chief minister k rosaiah and other officials here to discuss the modalities of the project in the state. ap, he said, has been in the forefront of using information technology for improving public services. making a particular mention of the national rural employment guarantee scheme, he said it was best implemented in ap, which has also collected 50 million iris images for use in the public distribution system apart from delivering social pensions to seven million poor. this data could be integrated with the uid data, he said. the uidai would shortly draw up a plan for a pilot project in the state and was ready with a team and required infrastructure. we are hopeful of rolling out the first batch of uid numbers by august or end of next year, nilekani said.later, delivering the foundation day lecture at the institute for development and research in banking technology (idrbt) here, he said the provision of an unique identity (uid) for person comprising his or her demographic and biometric details will become a power catalyst for achieving financial inclusion in the country.the uid would provide online authentication services and it could be done even through a cell phone, he said.if the banks have business correspondents (bcs) in villages equipped with a mobile phone, a finger print reader and an atm kind of software, cash transactions could be done at the village itself. for instance, an nreg worker could go to any bc and withdraw money because uid would be an open architecture, nilekani said. ",uidai set regional office hyderabad suresh dharur,"suresh dharur hyderabad , october 21 unique identification authority india ( uidai ) , taken unique identification number ( uid ) project , establish regional office hyderabad , chairman nandan nilekani said today.the uidai looks andhra pradesh role model states implementing uid project integrating existing data ,  nilekani told reporters meeting chief minister k rosaiah officials discuss modalities project state. ap , said , forefront using information technology improving public services. making particular mention national rural employment guarantee scheme , said best implemented ap , also collected 50 million iris images use public distribution system apart delivering social pensions seven million poor. data could integrated uid data , said. uidai would shortly draw plan pilot project state ready team required infrastructure. we hopeful rolling first batch uid numbers august end next year ,  nilekani said.later , delivering foundation day lecture institute development research banking technology ( idrbt ) , said provision unique identity ( uid ) person comprising demographic biometric details become power catalyst achieving financial inclusion country.the uid would provide online authentication services could done even cell phone , said.if banks business correspondents ( bcs ) villages equipped mobile phone , finger print reader atm kind software , cash transactions could done village itself. instance , nreg worker could go bc withdraw money uid would open architecture ,  nilekani said.","{'bjp': 0, 'cong': 0}",0,0,0.14342105263157895
2010-02-27,nilekani to head new technology advisory group girja shankar kaura ,"girja shankar kaura new delhi, february 26 the government has decided to set up a technology advisory group for unique it-related projects under the chairmanship of infosys co-founder nandan nilekani as it announced a nearly 16-fold increase, at rs 1,900 crore, for unique identification authority of india (uidai), headed by the infosys founder.presenting the budget for the financial year 2010-11 here today, finance minister pranab mukherjee said: an effective tax administration and financial governance system calls for creation of it projects which are reliable, secure and efficient. it projects like tax information network, new pension scheme, national treasury management agency, expenditure information network, goods and service tax are in different stages of roll out.to look into various technological and systemic issues, i propose to set up a technology advisory group for unique projects under the chairmanship of nandan nilekani, he said while adding that he had announced the constitution of the uidai, its broad working principles and the timeline for delivery of the first uid numbers.i am happy to report that the authority has been constituted and it will be able to meet its commitments of issuing the first set of uid numbers in the coming year. it would provide an effective platform for financial inclusion and targeted subsidy payments. since the uidai will now get into the operational phase, i am allocating rs 1,900 crore to the authority for 2010-11, mukherjee added. in the last budget the allocation for uidai was rs 120 crore.the authority is currently in the operational phase, finalising the various aspects for the roll out of the uid numbers to the residents of the country.as per the roll-out plan, the first set of 16-digit uid numbers would be out between august this year and february 2011. the authority has set a target of providing 600 million uids in the next five years.the current proposed allocation of rs 1,900 crore would be used for procurement of bio-metric devices and vendor services, including setting up of secure databanks and collection of the same besides for the pilot project to be started in four states by june.the uidai was established under the aegis of the planning commission for which a notification was issued in january last year.",nilekani head new technology advisory group girja shankar kaura,"girja shankar kaura new delhi , february 26 government decided set technology advisory group unique it-related projects chairmanship infosys co-founder nandan nilekani announced nearly 16-fold increase , rs 1,900 crore , unique identification authority india ( uidai ) , headed infosys founder.presenting budget financial year 2010-11 today , finance minister pranab mukherjee said : an effective tax administration financial governance system calls creation projects reliable , secure efficient. projects like tax information network , new pension scheme , national treasury management agency , expenditure information network , goods service tax different stages roll out.to look various technological systemic issues , propose set technology advisory group unique projects chairmanship nandan nilekani ,  said adding announced constitution uidai , broad working principles timeline delivery first uid numbers.i happy report authority constituted able meet commitments issuing first set uid numbers coming year. would provide effective platform financial inclusion targeted subsidy payments. since uidai get operational phase , allocating rs 1,900 crore authority 2010-11 ,  mukherjee added. last budget allocation uidai rs 120 crore.the authority currently operational phase , finalising various aspects roll uid numbers residents country.as per roll-out plan , first set 16-digit uid numbers would august year february 2011. authority set target providing 600 million uids next five years.the current proposed allocation rs 1,900 crore would used procurement bio-metric devices vendor services , including setting secure databanks collection besides pilot project started four states june.the uidai established aegis planning commission notification issued january last year .","{'bjp': 0, 'cong': 0}",0,0,0.20036525974025973
2010-03-18,unique id to come to aid of poor: nilekani girja shankar kaura ," girja shankar kaura new delhi, march 17 the unique identification number (uid) will be a tool to bring in mobility, choice, transparency and accountability on the doorstep of thecommon man. unique identification authority of india (uidai) chairperson and infosys co-founder nandan nilekani, speaking at a summit here organised by the skoch foundation, said the uid was a scheme for the marginalised people of the country. he said the slogan bijli, sadak, pani (electricity, roads, water) which talks about the need for development would now be taken over by a new catchphrase seeking bank account, mobile numbers and the unique identification number. the 16-digit unique number, which is likely to be rolled out by next year, would be a fundamental part of the next decade, he said.he said talks were already on with various government departments and all state governments for bringing them on board on the project which aims to give a unique number to all residents of the country.he said public partnership in the project was very crucial and the public could volunteer for the project and can even work with it on a sabbatical.we are in talks with everyone, including major industries,"" he said. nilekani said from the slogan of ""roti, kapada, makaan"" (food, clothing, shelter) in the 1960s and 1970s, india grew to the slogan of ""bijli, sadak, pani"" in the last decade.""i think, in the next 10 years, it would be the bank account, mobile number and the uid. all these are abstract ideas but they are tools for empowerment, access and opportunity,"" he said.he said the uid would give hundreds of millions of indians, who have no means to prove their identity in the absence of birth certificates and education certificates, an opportunity to access services that they are entitled to.nilekani also said the uid would enable the government to target its rural employment, food and education programmes for their beneficiaries by identifying them in a robust way and remove duplication. ",unique id come aid poor : nilekani girja shankar kaura,"girja shankar kaura new delhi , march 17 unique identification number ( uid ) tool bring mobility , choice , transparency accountability doorstep thecommon man. unique identification authority india ( uidai ) chairperson infosys co-founder nandan nilekani , speaking summit organised skoch foundation , said uid scheme marginalised people country. said slogan bijli , sadak , pani ( electricity , roads , water ) talks need development would taken new catchphrase seeking bank account , mobile numbers unique identification number. 16-digit unique number , likely rolled next year , would fundamental part next decade , said.he said talks already various government departments state governments bringing board project aims give unique number residents country.he said public partnership project crucial public could volunteer project even work sabbatical.we talks everyone , including major industries , "" said. nilekani said slogan "" roti , kapada , makaan "" ( food , clothing , shelter ) 1960s 1970s , india grew slogan "" bijli , sadak , pani "" last decade. "" think , next 10 years , would bank account , mobile number uid. abstract ideas tools empowerment , access opportunity , "" said.he said uid would give hundreds millions indians , means prove identity absence birth certificates education certificates , opportunity access services entitled to.nilekani also said uid would enable government target rural employment , food education programmes beneficiaries identifying robust way remove duplication.","{'bjp': 0, 'cong': 0}",0,0,0.11566985645933012
2010-03-20,go-ahead to national population register girja shankar kaura ," girja shankar kaura new delhi, march 19 the centre today gave a go-ahead to the creation of national population register (npr), a unique mechanism to record biometric particulars of the entire populace. the work on the project will start in april this year and is expected to complete by september.the project would cover an estimated population of 1.2 billion and the total cost of the scheme is rs 3,539.24 crore, information and broadcasting minister ambika soni told reporters after a cabinet meeting chaired by prime minister manmohan singh. she said the creation of a digital database with identity details of all individuals along with their photographs and finger biometrics will result in the creation of a biometrics based identity system in the country.once finalised, the npr database will be sent to the unique identification authority of india (uidai) for biometric de-duplication and assigning of a unique identification number. this uid number will be added to the npr database, soni said.it will be one of the biggest exercises in the world to count, identify and issue id-cards to people of a country which has the second largest population the world. the home ministry initiative aims at bringing homogeneity between the npr and uid numbers to be allotted by the infosys co-founder nandan nilekani-led uid authority. such a database will enhance the efficacy of providing services to the residents under government schemes and programmes, improve the security scenario and check identity frauds in the country. data for the npr will be collected along with the housing census starting in april and will be completed by september. uid numbers would be allotted on the basis of the data gathered in npr. what is npr? its a mechanism to record biometric particulars of the entire populace. it will involve creation of a digital database with identity details of all individuals along with photographs, fingerprintswhy we need it? the data will be sent to the unique identification authority, which is going to issue unique identification numbers and id cards to all what is npr? its a mechanism to record biometric particulars of the entire populace. it will involve creation of a digital database with identity details of all individuals along with photographs, fingerprintswhy we need it? the data will be sent to the unique identification authority, which is going to issue unique identification numbers and id cards to all",go-ahead national population register girja shankar kaura,"girja shankar kaura new delhi , march 19 centre today gave go-ahead creation national population register ( npr ) , unique mechanism record biometric particulars entire populace. work project start april year expected complete september.the project would cover estimated population 1.2 billion total cost scheme rs 3,539.24 crore ,  information broadcasting minister ambika soni told reporters cabinet meeting chaired prime minister manmohan singh. said creation digital database identity details individuals along photographs finger biometrics will result creation biometrics based identity system country.once finalised , npr database sent unique identification authority india ( uidai ) biometric de-duplication assigning unique identification number. uid number added npr database ,  soni said.it one biggest exercises world count , identify issue id-cards people country second largest population world. home ministry initiative aims bringing homogeneity npr uid numbers allotted infosys co-founder nandan nilekani-led uid authority. database enhance efficacy providing services residents government schemes programmes , improve security scenario check identity frauds country. data npr collected along housing census starting april completed september. uid numbers would allotted basis data gathered npr. npr ? its mechanism record biometric particulars entire populace. involve creation digital database identity details individuals along photographs , fingerprintswhy need ? data sent unique identification authority , going issue unique identification numbers id cards npr ? its mechanism record biometric particulars entire populace. involve creation digital database identity details individuals along photographs , fingerprintswhy need ? data sent unique identification authority , going issue unique identification numbers id cards","{'bjp': 0, 'cong': 0}",0,0,0.1380681818181818
2010-04-05,biometric pan cards put on hold," new delhi, april 4 the income tax department's proposal to issue biometric pan cards has been put on hold so as to avoid duplication with the uid numbers to be issued by nandan nilekani's unique identity authority of india (uidai).the biometric permanent account number (pan) card was proposed by the then finance minister p chidambaram in 2006 to counter the problem of duplicate pan cards which were uncovered during i-t searches and raids by the police and other enforcement agencies. the proposed biometric pan cards would have carried the i-t assessees' fingerprints (two from each hand) and the face. such a card, it was hoped, would be difficult to duplicate or manipulate.but after the uidai was set up last year, the authority decided to create a database of similar biometric information for all residents of the country. to avoid duplication of effort, a senior finance ministry official said, ""the biometric pan card project of the department has been kept in abeyance till the uid is rolled out. in the meantime, the suspension will allow the i-t department to understand and analyse whether after a biometric uid, a pan with similar features would be necessary or not."" the uid number, expected to roll out by the middle of next year, will capture the fingerprints of all 10 fingers, the face and iris of an individual.the uid authority is preparing to roll out biometric numbers and it would not be appropriate for the i-t department to run a similar project in the parallel, the official said. the entire effort to have biometric pan cards was to avoid duplication and stop fraudulent practices by tax evaders and anti-nationals. the uid would achieve the same purpose, the official added.once the uid numbers start rolling out, a decision would be taken on whether the database could help the i-t department in stopping the misuse of pan or still the biometric pan cards would be necessary to be made, the official added. the i-t department, in a number of cases, has uncovered several individuals possessing multiple pan cards or forging the details. while pan is a 10-digit alphanumeric number allotted by the i-t department to taxpayers, biometrics is a biological method to identify physical features of an individual.  pti",biometric pan cards put hold,"new delhi , april 4 income tax department ' proposal issue biometric pan cards put hold avoid duplication uid numbers issued nandan nilekani ' unique identity authority india ( uidai ) .the biometric permanent account number ( pan ) card proposed finance minister p chidambaram 2006 counter problem duplicate pan cards uncovered i-t searches raids police enforcement agencies. proposed biometric pan cards would carried i-t assessees ' fingerprints ( two hand ) face. card , hoped , would difficult duplicate manipulate.but uidai set last year , authority decided create database similar biometric information residents country. avoid duplication effort , senior finance ministry official said , "" biometric pan card project department kept abeyance till uid rolled out. meantime , suspension allow i-t department understand analyse whether biometric uid , pan similar features would necessary not. "" uid number , expected roll middle next year , capture fingerprints 10 fingers , face iris individual.the uid authority preparing roll biometric numbers would appropriate i-t department run similar project parallel , official said. entire effort biometric pan cards avoid duplication stop fraudulent practices tax evaders anti-nationals. uid would achieve purpose , official added.once uid numbers start rolling , decision would taken whether database could help i-t department stopping misuse pan still biometric pan cards would necessary made , official added. i-t department , number cases , uncovered several individuals possessing multiple pan cards forging details. pan 10-digit alphanumeric number allotted i-t department taxpayers , biometrics biological method identify physical features individual.  pti","{'bjp': 0, 'cong': 0}",0,0,0.013016528925619835
2010-04-27,uid project is now aadhaar ,"new delhi, april 26 looking to provide all vital details about an individual in one card, the unique identification authority of india (uidai) today renamed the governments ambitious unique identity project as aadhaar and also unveiled its new logo.the acronym uid is very confusing. some people call it dui, somebody calls it iud and so forth. it was a little difficult to explain its various permutations and combinations, uidai chairman nandan nilekani said, while renaming the project as aadhaar (foundation).therefore, we wanted a name that could effectively communicate its transformational potential and its promise to residents. something that had a national appeal that could be recognised across the country, could resonate in different languages and was easy to remember and speak, he said.the unique 16-digit identification card is an effort from the government to reach out to the common man.uidai director general rs sharma said the first 16-digit number would be rolled out by february next year. nilekani said the same standard was also set for the making of the logo. the new logo, with a sun in yellow and a fingerprint in the centre, was also made public at a seminar organised by the uidai here.interestingly, the logo, selected after a nationwide competition, was unveiled by dhaneshwar ram, a resident of azamgarh in uttar pradesh, who was invited by the uidai to speak on the hardships faced by the common man in getting an identity at present.the logo creator, atul sudhakarrao pande, a mumbai resident was given a cheque for rs 1 lakh after his design was selected among over 2,000 entries.speaking to a news agency, pande, who is a designer by profession, said, my sister told me about this competition. i read through their concept notes and knew that i had to create something which is easily recognisable. any rural person would be able to easily recognise the sun and the fingerprint.pande, who would turn 39 tomorrow, said, my win is the best birthday present that i have received. it will be taken to millions of people and will be at the front of this ambitious project.nilekani said the project aimed the under-privileged and the poor, who are left out of the governments social schemes because of lack of identity proof.r chandra shekhar, secretary, department of information technology, said, aadhaar is the first identity project which is aiming at the poor and marginalised. earlier all such schemes use to cater only to security but aadhaar caters to both.",uid project aadhaar,"new delhi , april 26 looking provide vital details individual one card , unique identification authority india ( uidai ) today renamed governments ambitious unique identity project aadhaar also unveiled new logo.the acronym uid confusing. people call dui , somebody calls iud forth. little difficult explain various permutations combinations ,  uidai chairman nandan nilekani said , renaming project aadhaar ( foundation ) .therefore , wanted name could effectively communicate transformational potential promise residents. something national appeal could recognised across country , could resonate different languages easy remember speak ,  said.the unique 16-digit identification card effort government reach common man.uidai director general rs sharma said first 16-digit number would rolled february next year. nilekani said standard also set making logo. new logo , sun yellow fingerprint centre , also made public seminar organised uidai here.interestingly , logo , selected nationwide competition , unveiled dhaneshwar ram , resident azamgarh uttar pradesh , invited uidai speak hardships faced common man getting identity present.the logo creator , atul sudhakarrao pande , mumbai resident given cheque rs 1 lakh design selected among 2,000 entries.speaking news agency , pande , designer profession , said , my sister told competition. read concept notes knew create something easily recognisable. rural person would able easily recognise sun fingerprint.pande , would turn 39 tomorrow , said , my win best birthday present received. taken millions people front ambitious project.nilekani said project aimed under-privileged poor , left governments social schemes lack identity proof.r chandra shekhar , secretary , department information technology , said , aadhaar first identity project aiming poor marginalised. earlier schemes use cater security aadhaar caters both.","{'bjp': 0, 'cong': 0}",0,0,0.10571248196248192
2010-05-12,uid number to help poor a lot: nilekani girja shankar kaura ," girja shankar kaura new delhi, may 11 unique identification authority of india (uidai) chairman nandan nilekani today has said the project will help the marginalised and the migrant access public services. speaking at a cii interactive session here today, nilekani said the project would address issues of multiple and ghost identities, thus helping in plugging leakages in various welfare schemes. the schemes would also be able to achieve better targeting and greater enrolments.recently named as aadhaar, the unique identification project is set to incorporate various identification marks for an individual and would work as a one-window id card for various purposes.the first set of identifications is expected to be rolled out by february, 2011, and around 600 million indians would be enrolled over the next four years.nilekani said the project would have two aspects, one to provide a unique identification number to all indians and second to provide online authentication. once the unique identification number became acceptable as identity proof, it would benefit millions of poor, without any identification proof, access public services.it will reduce the transaction costs in the economy as the need for establishing identity for every individual service will get eliminated. the online identification process will enable re-engineering of different applications to deliver public services in a more efficient manner.explaining the security features, nilekani said the identification would be biometrics-based and the database would be a private database that could be used only for authentication.the draft uidai act would soon be ready for public comments and would define the framework for the entity, he added. nilekani also presented the cii presidents awards at the session. ",uid number help poor lot : nilekani girja shankar kaura,"girja shankar kaura new delhi , may 11 unique identification authority india ( uidai ) chairman nandan nilekani today said project help marginalised migrant access public services. speaking cii interactive session today , nilekani said project would address issues multiple ghost identities , thus helping plugging leakages various welfare schemes. schemes would also able achieve better targeting greater enrolments.recently named aadhaar , unique identification project set incorporate various identification marks individual would work one-window id card various purposes.the first set identifications expected rolled february , 2011 , around 600 million indians would enrolled next four years.nilekani said project would two aspects , one provide unique identification number indians second provide online authentication. unique identification number became acceptable identity proof , would benefit millions poor , without identification proof , access public services.it reduce transaction costs economy need establishing identity every individual service get eliminated. online identification process enable re-engineering different applications deliver public services efficient manner.explaining security features , nilekani said identification would biometrics-based database would private database could used authentication.the draft uidai act would soon ready public comments would define framework entity , added. nilekani also presented cii presidents awards session.","{'bjp': 0, 'cong': 0}",0,0,0.12808441558441558
2010-05-19,nod to data collection norms for uid project ," new delhi, may 18 the unique identification authority of india (uidai) has been given the in-principle approval for adoption of standardised approach for collection of demographic and biometric attributes, including iris scan, of residents by various bodies.the governments clearance for the standardised approach came after the meeting of the cabinet committee on unique identification authority of india related issues (cc-uidai).uidai chairman nandan nilekani said here that the uidai proposed to collect data through various agencies of central and state governments and others.the decision of the government for a standardised approach was of importance as this would make it essential for any data collecting department or organisation in the country to adopt the uidai standards, nilekani said.this included collection of demographic (name, age, sex, age among others) and biometric attributes of residents namely face, all 10 fingerprints and iris scan for the uid project.""it was also decided to include data of the iris for children in the age group of 5 to 15 years. the same standards and processes would be adhered to by the registrar-general of india for the national population register (npr) exercise and all other registrars in the uid system,"" nilekani said.",nod data collection norms uid project,"new delhi , may 18 unique identification authority india ( uidai ) given in-principle approval adoption standardised approach collection demographic biometric attributes , including iris scan , residents various bodies.the governments clearance standardised approach came meeting cabinet committee unique identification authority india related issues ( cc-uidai ) .uidai chairman nandan nilekani said uidai proposed collect data various agencies central state governments others.the decision government standardised approach importance would make essential data collecting department organisation country adopt uidai standards , nilekani said.this included collection demographic ( name , age , sex , age among others ) biometric attributes residents namely face , 10 fingerprints iris scan uid project. "" also decided include data iris children age group 5 15 years. standards processes would adhered registrar-general india national population register ( npr ) exercise registrars uid system , "" nilekani said .","{'bjp': 0, 'cong': 0}",0,0,0.07613636363636364
2010-08-17,ap to be launch pad of uid project suresh dharur ," suresh dharur hyderabad, august 16 andhra pradesh will serve as a test bed for implementation of the unique identification project, the flagship scheme of the upa government. prime minister manmohan singh will do the national launch of the prestigious project, christened as aadhar, here in the last week of this month.the dates for the pms visit are being worked out. tentatively, it may be around august 29-30, official sources said.ap was also the launching pad for national rural employment guarantee programme (nregp), another important project of the upa. thanks to aggressive e-governance initiatives, the state has a pool of reliable data and this has helped the government in taking the lead for implementing the uid project.in the first phase of the project, over 3.50 crore people will be enrolled in the districts of hyderabad, rangareddy, adilabad, east godavari, srikakulam, chittoor and anantapur by march, 2011, coveringall regions, integrated tribal development agency (itda) areas and a substantial scheduled caste population.the officials would take the database of civil supplies and rural development for identifying the card users. the state had already made use of biometrics (iris scans and thumb impression) in both the departments to issue ration cards and job cards under nregp in 2006.the state government would set up special booths for citizens to come and provide biometric features to obtain the number, the officials involved with the project said.while the unique identification authority (uida) will issue the number, the state government will subsequently take the task of providing the cards to citizens. the officials decided to cross-match the fresh data of the uida with the existing data in civil supplies and rural development departments.all residents, including children, are given the unique id number. the benefits of the service include enhanced access to services, mobility and reaching out to marginal groups.the project envisages assigning a unique identification number to each resident in the country. it aims at eliminating the need for multiple identification mechanism prevalent across various government departments. it will ensure that development deliverables reach the intended beneficiaries. in order to do so efficiently, effectively and economically, a comprehensive system of unique identity for the resident population of the country has been worked out.",ap launch pad uid project suresh dharur,"suresh dharur hyderabad , august 16 andhra pradesh serve test bed implementation unique identification project , flagship scheme upa government. prime minister manmohan singh national launch prestigious project , christened aadhar , last week month.the dates pms visit worked out. tentatively , may around august 29-30 ,  official sources said.ap also launching pad national rural employment guarantee programme ( nregp ) , another important project upa. thanks aggressive e-governance initiatives , state pool reliable data helped government taking lead implementing uid project.in first phase project , 3.50 crore people enrolled districts hyderabad , rangareddy , adilabad , east godavari , srikakulam , chittoor anantapur march , 2011 , coveringall regions , integrated tribal development agency ( itda ) areas substantial scheduled caste population.the officials would take database civil supplies rural development identifying card users. state already made use biometrics ( iris scans thumb impression ) departments issue ration cards job cards nregp 2006.the state government would set special booths citizens come provide biometric features obtain number , officials involved project said.while unique identification authority ( uida ) issue number , state government subsequently take task providing cards citizens. officials decided cross-match fresh data uida existing data civil supplies rural development departments.all residents , including children , given unique id number. benefits service include enhanced access services , mobility reaching marginal groups.the project envisages assigning unique identification number resident country. aims eliminating need multiple identification mechanism prevalent across various government departments. ensure development deliverables reach intended beneficiaries. order efficiently , effectively economically , comprehensive system unique identity resident population country worked .","{'bjp': 0, 'cong': 0}",0,0,0.22537593984962404
