Date,Title,Article,clean title,clean article,polarity,cong,bjp,senti
2010-10-30,"adarsh housing scam probe hints at criminal conspiracy involvement of army, navy officers not ruled out by mod investigation ","adarsh housing scam new delhi, october 29 an investigation by the ministry of defence has prima facie found a criminal conspiracy in the scam-tainted adarsh housing project, mumbai, in which the involvement of a few officers of the army and the navy at some stage has not been ruled out. notably, the land where the society has come up was meant for the construction of a hostel for the daughters of serving officers. however, the ministry was yet to study if any of the beneficiaries among the forces reflected their prime acquisitions  worth crores in the open market  in their annual property returns. not only former chiefs, middle-level officers in the rank of lt colonel of the army or lt commander of the navy were on the list. some below officer ranks of the navy, too, were beneficiaries. each flats cost was around rs 70 lakh and the allottees were required to show their source of income and the property had to be shown while filing returns, as mandated by the government rules. valued at some rs 500 crore, the land is located in posh colaba area of south mumbai  was in de facto possession of the army, sources pointed out while making it clear that they do not have access to the revenue records of maharashtra. listing out the details, sources said the land had a chequered past. in the late 1940s, the maharashtra government  under british rule then  wanted land that was in the possession of the army in santa cruz for an expressway and in lieu the state was to give equal land or its market value in colaba. during that period, there was some construction of the army on this very land in colaba. in 1964, the collector of mumbai wrote to the defence authorities, saying colaba land cannot be given (to the army), says internal reports of the ministry. in 1996, an eco park was inaugurated by the dg infantry. a boundary wall was also constructed by the mes and the army was in a way having control over the land. it was only in 2003 that the defence estates wrote to the collector saying the army interests were superior to any other. however, a noc was issued to the builder. the ministry is trying to ascertain who cleared the noc. the other angle is the security issue  to see if the building was a risk to the high-value security assets on the coast. ","adarsh housing scam probe hints criminal conspiracy involvement army , navy officers ruled mod investigation","adarsh housing scam new delhi , october 29 investigation ministry defence prima facie found criminal conspiracy scam-tainted adarsh housing project , mumbai , involvement officers army navy stage ruled out. notably , land society come meant construction hostel daughters serving officers. however , ministry yet study beneficiaries among forces reflected prime acquisitions  worth crores open market  annual property returns. former chiefs , middle-level officers rank lt colonel army lt commander navy list. officer ranks navy , , beneficiaries. flats cost around rs 70 lakh allottees required show source income property shown filing returns , mandated government rules. valued rs 500 crore , land located posh colaba area south mumbai  de facto possession army , sources pointed making clear access revenue records maharashtra. listing details , sources said land chequered past. late 1940s , maharashtra government  british rule  wanted land possession army santa cruz expressway lieu state give equal land market value colaba. period , construction army land colaba. 1964 , collector mumbai wrote defence authorities , saying colaba land cannot given ( army )  , says internal reports ministry. 1996 , eco park inaugurated dg infantry. boundary wall also constructed mes army way having control land. 2003 defence estates wrote collector saying the army interests superior other. however , noc issued builder. ministry trying ascertain cleared noc. angle security issue  see building risk high-value security assets coast.","{'bjp': 0, 'cong': 0}",0,0,0.014520202020202017
2010-11-02,chavan issue yet another shadow on aicc meet anita katyal our political correspondent," anita katyal our political correspondent new delhi, november 1 a special meeting of the all-india congress committee (aicc) being held here tomorrow, ostensibly to elect members to the partys working committee, was originally billed to be a celebration of sorts.the first major meeting being held after congress president sonia gandhis fourth consecutive re-election as party chief, it was to set the tone for next months plenary session, which is also to bring down the curtain on the year-long celebrations of the partys 125th anniversary. as it happens, the meeting could not have come at a worse time for the congress. instead of celebrating its able leadership and track record in governance, the party is weighed down with allegations of corruption surrounding the commonwealth games and the adarsh housing scam which has rendered maharashtra chief minister ashok chavans continuation in office as untenable. the congress finds itself on the backfoot as its plank of probity in public life has been severely dented, while an aggressive opposition is all set to hit out at the congress and the upa government in the upcoming parliament session on the issue of corruption. consequently, congress president and prime manmohan singhs speeches at tomorrows meeting are being keenly awaited as it is widely expected that the two leaders will spell out their position on the controversies plaguing the party and provide a clear direction to the 1,000-odd aicc delegates who are attending the meeting at the talkatora stadium. the aicc meeting has essentially been called to conduct elections to the congress working committee (cwc), the partys highest decision-making body.however, an election is all but ruled out as the delegates are expected to adopt a resolution authorising sonia gandhi to nominate the working committee members. according to the partys constitution, 12 of the 24 cwc members are to be elected. however, the party is particularly averse to the democratic process and has been taking the nomination route for the past several years.",chavan issue yet another shadow aicc meet anita katyal political correspondent,"anita katyal political correspondent new delhi , november 1 special meeting all-india congress committee ( aicc ) held tomorrow , ostensibly elect members partys working committee , originally billed celebration sorts.the first major meeting held congress president sonia gandhis fourth consecutive re-election party chief , set tone next months plenary session , also bring curtain year-long celebrations partys 125th anniversary. happens , meeting could come worse time congress. instead celebrating able leadership track record governance , party weighed allegations corruption surrounding commonwealth games adarsh housing scam rendered maharashtra chief minister ashok chavans continuation office untenable. congress finds backfoot plank probity public life severely dented , aggressive opposition set hit congress upa government upcoming parliament session issue corruption. consequently , congress president prime manmohan singhs speeches tomorrows meeting keenly awaited widely expected two leaders spell position controversies plaguing party provide clear direction 1,000-odd aicc delegates attending meeting talkatora stadium. aicc meeting essentially called conduct elections congress working committee ( cwc ) , partys highest decision-making body.however , election ruled delegates expected adopt resolution authorising sonia gandhi nominate working committee members. according partys constitution , 12 24 cwc members elected. however , party particularly averse democratic process taking nomination route past several years .","{'bjp': 0, 'cong': 7}",7,0,0.07555057376485948
2010-11-03,adarsh housing scam decision on chavans fate after november 8 anita katyal our political correspondent," adarsh housing scam anita katyal our political correspondent new delhi, november 2 a decision on maharashtra chief minister ashok chavans fate would be taken after november 8, congress sources said here today.chavan is at the centre of the controversy surrounding mumbais adarsh housing society, in which three of his close relatives were allotted flats, originally meant for widows of kargil martyrs. we dont want to spoil anybodys divali, remarked a senior congress leader.perturbed over the ongoing revelations in the adarsh housing society scam, congress president had summoned chavan to delhi last week and subsequently asked senior leaders ak antony and pranab mukherjee to probe the issue. the two ministers had said it would take some time to submit their report, on the basis of which a final view would be taken on chavans continuation in the office.the congress hesitated in taking a quick decision as it did not want anything to mar todays aicc meeting. us president barack obamas forthcoming visit to india was another factor as his first halt would be mumbai.but, most importantly, the congress leadership is in a dilemma over naming chavans successor. the chief minister, who is in the firing line for giving clearances to the project as the revenue minister, has implicated his predecessors and chief contenders for the cms post, sushil kumar shinde and vilasrao deshmukh, in the controversy. all three maharashtra leaders were prominently seated at todays aicc meeting.the situation has been further complicated with fresh revelations showing the involvement of senior defence officers, including former army and naval chief, bureaucrats and leaders of other political parties in the scam.while this is one reason for going slow, the party is also worried that if it shows bankruptcy of leadership, its ally, sharad pawar-led ncp, could lay claim to the chief ministers post. pawar has been ominously silent on the controversy. cwc reconstitutionarmed with a formal authorisation from aicc delegates, congress president sonia gandhi will now get down to the task of reconstituting the congress working committee (cwc), the partys highest decision-making body. highly placed congress sources said the new cwc should be in place when the three-day aicc plenary session is held in delhi from december 18 to 20. ",adarsh housing scam decision chavans fate november 8 anita katyal political correspondent,"adarsh housing scam anita katyal political correspondent new delhi , november 2 decision maharashtra chief minister ashok chavans fate would taken november 8 , congress sources said today.chavan centre controversy surrounding mumbais adarsh housing society , three close relatives allotted flats , originally meant widows kargil martyrs. we dont want spoil anybodys divali ,  remarked senior congress leader.perturbed ongoing revelations adarsh housing society scam , congress president summoned chavan delhi last week subsequently asked senior leaders ak antony pranab mukherjee probe issue. two ministers said would take time submit report , basis final view would taken chavans continuation office.the congress hesitated taking quick decision want anything mar todays aicc meeting. us president barack obamas forthcoming visit india another factor first halt would mumbai.but , importantly , congress leadership dilemma naming chavans successor. chief minister , firing line giving clearances project revenue minister , implicated predecessors chief contenders cms post , sushil kumar shinde vilasrao deshmukh , controversy. three maharashtra leaders prominently seated todays aicc meeting.the situation complicated fresh revelations showing involvement senior defence officers , including former army naval chief , bureaucrats leaders political parties scam.while one reason going slow , party also worried shows bankruptcy leadership , ally , sharad pawar-led ncp , could lay claim chief ministers post. pawar ominously silent controversy. cwc reconstitutionarmed formal authorisation aicc delegates , congress president sonia gandhi get task reconstituting congress working committee ( cwc ) , partys highest decision-making body. highly placed congress sources said new cwc place three-day aicc plenary session held delhi december 18 20.","{'bjp': 0, 'cong': 8}",8,0,0.07002195871761088
2010-11-11,"gadkari has proxy flat in adarsh: cong give proof or apologise in next 72 hours, says bjp vibha sharma "," vibha sharma new delhi, november 10 hit by scams and increasing clamour for the removal of telecom minister a raja, the congress today accused bjp president nitin gadkari of holding a flat in the controversial adarsh cooperative housing society in mumbai by proxy.it was a charge that bjp rebutted with full force. demanding an apology, bjp spokesman prakash javedekar termed it an attempt by the congress to deflect attention from issues like spectrum scam and accountability of other party players in adarsh housing and other scams. rubbishing the allegation made by congress spokesman manish tewari, javadekar said if congress spokesmen did not give a proof or apologise in the next 72 hours, the bjp would file a criminal complaint and a defamation suit against them.tewari, however, is certain that the flat owned by driver of bjp national executive member ajay sancheti belongs to gadkari. ajay sancheti, who is a member of the bjps national executive, is a proxy for nitin gadkari. i am making this charge with all responsibility. the benami ownership needs to be investigated to determine who the real owner is, he said.making light of javadekars challenge of the bjp filing a defamation suit against him, the congress spokesman said: it is my profession to go to the court every day. it would be my pleasure to see the bjp president in the court as at least this way we would be able to expose the larger sancheti-gadkari nexus.lending support to tewaris claim, another congress spokesman shakeel ahmed also tried to put the bjp in the dock, alleging that one of the adarsh beneficiaries was very very close to gadkari. while raising the adarsh issue, they are not taking the name of suresh prabhu, who was a minister in the nda regime, or sancheti, who is supposed to be very very close to gadkari. according to reports, the driver of sancheti, whose monthly salary is just rs 8,600, paid rs 60 lakh for the flat. sanchetis driver is a proxy for gadkari, ahmed said.the congress, which has already removed ashok chavan as the chief minister of maharashtra following allegations that some of his family members owned flats in the adarsh society, now expects the bjp, which has been making a huge noise over the scams demanding a jpc probe, to follow same rules for its members.ahmed said chavan resigned due to adarsh housing controversy. similarly, suresh kalmadi resigned from the post of congress parliamentary party secretary due to row over commonwealth games. the bjp should explain what action it proposes against its senior leader vijay kumar malhotra and tarlochan singh, ncm chairman during the nda regime, who were defending kalmadi and even seen in tv footages along with the cwg chairman. they also need to spell out their stand on sancheti and suresh prabhu, he said. ","gadkari proxy flat adarsh : cong give proof apologise next 72 hours , says bjp vibha sharma","vibha sharma new delhi , november 10 hit scams increasing clamour removal telecom minister raja , congress today accused bjp president nitin gadkari holding flat controversial adarsh cooperative housing society mumbai proxy.it charge bjp rebutted full force. demanding apology , bjp spokesman prakash javedekar termed attempt congress deflect attention issues like spectrum scam accountability party players adarsh housing scams. rubbishing allegation made congress spokesman manish tewari , javadekar said congress spokesmen give proof apologise next 72 hours , bjp would file criminal complaint defamation suit them.tewari , however , certain flat owned driver bjp national executive member ajay sancheti belongs gadkari. ajay sancheti , member bjps national executive , proxy nitin gadkari. making charge responsibility. benami ownership needs investigated determine real owner ,  said.making light javadekars challenge bjp filing defamation suit , congress spokesman said : it profession go court every day. would pleasure see bjp president court least way would able expose larger sancheti-gadkari nexus.lending support tewaris claim , another congress spokesman shakeel ahmed also tried put bjp dock , alleging one adarsh beneficiaries very close gadkari. while raising adarsh issue , taking name suresh prabhu , minister nda regime , sancheti , supposed close gadkari. according reports , driver sancheti , whose monthly salary rs 8,600 , paid rs 60 lakh flat. sanchetis driver proxy gadkari ,  ahmed said.the congress , already removed ashok chavan chief minister maharashtra following allegations family members owned flats adarsh society , expects bjp , which making huge noise scams demanding jpc probe , follow rules members.ahmed said chavan resigned due adarsh housing controversy. similarly , suresh kalmadi resigned post congress parliamentary party secretary due row commonwealth games. the bjp explain action proposes senior leader vijay kumar malhotra tarlochan singh , ncm chairman nda regime , defending kalmadi even seen tv footages along cwg chairman. also need spell stand sancheti suresh prabhu ,  said.","{'bjp': 10, 'cong': 8}",8,10,0.06675574425574425
2010-12-02,adarsh housing scam encroached land to be reclaimed: navy,"mumbai, december 1 in the wake of the adarsh housing scam, the navy has found out that a huge number of its plots were encroached upon, a top navy official said today.we have started the exercise of identifying plots, its owner and the acquisition, whether they belong to defence or revenue department. we are checking all records of land holdings to ascertain whether it is in jurisdiction of defence or revenue department. we will be reclaiming all our defence land, western naval command chief vice admiral sanjeev bhasin said.a huge number of our plots are encroached upon, like in mumbais navy nagar, geeta nagar, ganesh murti nagar and sunder nagar areas and at kalyan in neighbouring thane district, he said.on the geeta nagar plot, the maharashtra government had assured that the slum dwellers would be rehabilitated under the sra scheme by 2011, he said. the kalyan plot is encroached by farmers for agriculture, he said.it is believed that the land is in possession of the defence but it is still not clear who is the actual owner of the plot. so the matter is in the court. the owner is either the defence or the revenue department of the state government, bhasin said, commenting on the adarsh housing scam.the issue needs to be resolved. there are irregularities in sanctioning, allotment and the environmental crz clearance. these issues are now being looked at, he said.asked why the navy took such a long time to take cognisance of the adarsh scam, he said, i agree that somebody should have taken a note of the fact that such a huge building was coming up.it (adarsh) is a sub judice matter now, so it is not appropriate for me to say what should have been done or not, the officer said.asserting that action would be taken against any navy officer found involved in the scam, bhasin said, we are not holding any internal enquiry yet and are relying on the cbi enquiry.  pti",adarsh housing scam encroached land reclaimed : navy,"mumbai , december 1 wake adarsh housing scam , navy found huge number plots encroached upon , top navy official said today.we started exercise identifying plots , owner acquisition , whether belong defence revenue department. checking records land holdings ascertain whether jurisdiction defence revenue department. reclaiming defence land ,  western naval command chief vice admiral sanjeev bhasin said.a huge number plots encroached upon , like mumbais navy nagar , geeta nagar , ganesh murti nagar sunder nagar areas kalyan neighbouring thane district ,  said.on geeta nagar plot , maharashtra government assured slum dwellers would rehabilitated sra scheme 2011 , said. kalyan plot encroached farmers agriculture , said.it believed land possession defence still clear actual owner plot. matter court. owner either defence revenue department state government ,  bhasin said , commenting adarsh housing scam.the issue needs resolved. irregularities sanctioning , allotment environmental crz clearance. issues looked , said.asked navy took long time take cognisance adarsh scam , said , i agree somebody taken note fact huge building coming up.it ( adarsh ) sub judice matter , appropriate say done ,  officer said.asserting action would taken navy officer found involved scam , bhasin said , we holding internal enquiry yet relying cbi enquiry.  pti","{'bjp': 0, 'cong': 0}",0,0,0.08750000000000002
2010-12-10,adarsh scam gadkari files defamation suit against manish tewari," mumbai, december 9 bjp president nitin gadkari today filed a criminal defamation complaint against congress spokesperson manish tewari for accusing him of owning a ""benami"" flat in the scam-tainted adarsh housing society here. terming tewari's statement as ""false, reckless and malicious,"" gadkari filed a complaint under section 500 of ipc for defamation in a metropolitan magistrate court here, which directed the congress leader to file his reply by january 24.after the adarsh scam came to light, tewari, in a press conference on november 10, had alleged that gadkari too owned a flat in the plush society in the name of his driver.""tewari, in order to harm my clean and impeccable reputation and party's image, intentionally indulged in defaming me,"" gadkari has said in the complaint. ""these are unfounded assertions of a beleaguered spokesperson of the ruling party discredited by corrupt practices,"" he stated.in his reaction, tewari said the bjp chief should ""look within"". ""it is an irony that a person who calls afzal guru the son-in-law of congress, the person who uses unparliamentary language for lalu yadav and mulayam yadav, and criticised the congress in words which can't be repeated, he goes and files defamation cases against us.""  pti ",adarsh scam gadkari files defamation suit manish tewari,"mumbai , december 9 bjp president nitin gadkari today filed criminal defamation complaint congress spokesperson manish tewari accusing owning "" benami "" flat scam-tainted adarsh housing society here. terming tewari ' statement "" false , reckless malicious , "" gadkari filed complaint section 500 ipc defamation metropolitan magistrate court , directed congress leader file reply january 24.after adarsh scam came light , tewari , press conference november 10 , alleged gadkari owned flat plush society name driver. "" tewari , order harm clean impeccable reputation party ' image , intentionally indulged defaming , "" gadkari said complaint. "" unfounded assertions beleaguered spokesperson ruling party discredited corrupt practices , "" stated.in reaction , tewari said bjp chief "" look within "" . "" irony person calls afzal guru son-in-law congress , person uses unparliamentary language lalu yadav mulayam yadav , criticised congress words ' repeated , goes files defamation cases us. ""  pti","{'bjp': 2, 'cong': 4}",4,2,-0.06944444444444443
2010-12-18,aicc plenary to focus on graft anita katyal our political correspondent," anita katyal our political correspondent new delhi, december 17 when congress president sonia gandhi addressed the aicc delegates in november she had steered clear of making any reference to the raging allegations of corruption like the adarsh housing scam or the commonwealth games mess and had instead trained her guns on the bjps parent organisation, the rss, for its involvement in acts of terror.in contrast, the upcoming aicc plenary session being held on the outskirts of delhi in burari from december 18-20, will have a sharp focus on corruption and the issue of probity in public life while keeping up the attack on the bjp. the congress leadership can hardly afford to keep silent on this issue any longer as the allegations of corruption it is facing have dealt a huge blow to its image and severely dented its credibility. the opposition, on the other hand, has been galvanised after these revelations. after disrupting the entire winter session of parliament, the opposition has mounted a nation-wide campaign to press its demand for a joint parliamentary committee (jpc) and to put the congress-led upa government in the dock for its involvement in scams.it has, therefore, become imperative for the congress to come out with a cogent response to the opposition offensive. the congress presidents speech to party mps on the last day of parliament provided a glimpse of what will be on offer during the plenary deliberations.countering the opposition charges, sonia gandhi had given details of the investigations being conducted by the various agencies into all these cases and the action already taken by the government like a rajas resignation and the change of guard in maharashtra. the congress will, in turn, attack the bjp for its cover-up of corruption in karnataka and remind the main opposition party about its involvement in the tehelka sting operation and the coffin scam.despite sonia gandhis aggressive speech at the cpp meeting, there is an air of despondency in the party on the eve of the plenary session which has been cynically described by a senior congress leader as a gala event. besides having to deal with the fall-out of the scams and corruption allegations, the party has also to contend with its dismal performance in the bihar assembly elections where the congress grand plans of an upper caste revival in its favour came to nought. the partys health in other states is also not very sound. the congress can expect to pay a heavy price for the dmks transgressions in the next years assembly elections in tamil nadu. it is on shaky ground in andhra pradesh where the telangana movement could erupt any time. jaganmohan reddy, late chief ministers son, who recently left the congress to float his own party, has the potential to play spoilsport in the southern state. the congress has not been able to pin down any of the bjp governments in states like karnataka, madhya pradesh and chhattisgarh where it is in the opposition because of bitter internal feuds.although the plenary will predictably end with a stirring call to the cadres to take on the bjp, several congress leaders predict that the country could be headed for a phase of instability as the ongoing stalemate in the polity will further weaken the congress but not necessarily throw up a viable non-congress alternative. unlike the late eighties when the bjp and the left joined hands to take on the congress, the possibility of these two parties coming together this time appears remote. ",aicc plenary focus graft anita katyal political correspondent,"anita katyal political correspondent new delhi , december 17 congress president sonia gandhi addressed aicc delegates november steered clear making reference raging allegations corruption like adarsh housing scam commonwealth games mess instead trained guns bjps parent organisation , rss , involvement acts terror.in contrast , upcoming aicc plenary session held outskirts delhi burari december 18-20 , sharp focus corruption issue probity public life keeping attack bjp. congress leadership hardly afford keep silent issue longer allegations corruption facing dealt huge blow image severely dented credibility. opposition , hand , galvanised revelations. disrupting entire winter session parliament , opposition mounted nation-wide campaign press demand joint parliamentary committee ( jpc ) put congress-led upa government dock involvement scams.it , therefore , become imperative congress come cogent response opposition offensive. congress presidents speech party mps last day parliament provided glimpse offer plenary deliberations.countering opposition charges , sonia gandhi given details investigations conducted various agencies cases action already taken government like rajas resignation change guard maharashtra. congress , turn , attack bjp cover-up corruption karnataka remind main opposition party involvement tehelka sting operation coffin scam.despite sonia gandhis aggressive speech cpp meeting , air despondency party eve plenary session cynically described senior congress leader gala event. besides deal fall-out scams corruption allegations , party also contend dismal performance bihar assembly elections congress grand plans upper caste revival favour came nought. partys health states also sound. congress expect pay heavy price dmks transgressions next years assembly elections tamil nadu. shaky ground andhra pradesh telangana movement could erupt time. jaganmohan reddy , late chief ministers son , recently left congress float party , potential play spoilsport southern state. congress able pin bjp governments states like karnataka , madhya pradesh chhattisgarh opposition bitter internal feuds.although plenary predictably end stirring call cadres take bjp , several congress leaders predict country could headed phase instability ongoing stalemate polity weaken congress necessarily throw viable non-congress alternative. unlike late eighties bjp left joined hands take congress , possibility two parties coming together time appears remote.","{'bjp': 5, 'cong': 12}",12,5,-0.0200351642659335
2011-01-17,"wont quit over adarsh, says tiwari"," mumbai, january 16 putting the maharashtra government in a quandary, a defiant ramanand tiwari today said he will not quit as information commissioner and will challenge the recommendation to the governor to suspend him following his alleged involvement in the adarsh housing scam.""i am not quitting but will challenge the suspension process,"" tiwari said after a 10-minute meeting with the maharashtra governor k sankaranarayanan at raj bhavan here.alleging ""misconduct"" by tiwari in the adarsh housing society scam, the state cabinet had on january 11 recommended his suspension to the governor.the former ias official said during the meeting, he ""presented"" his side of the story.""i am not going to step down and i have informed the governor. the government has already appointed a commission to probe the matter and truth would be out soon,"" tiwari said, adding, ""i am willing to face the inquiry,"" he said.  pti","wont quit adarsh , says tiwari","mumbai , january 16 putting maharashtra government quandary , defiant ramanand tiwari today said quit information commissioner challenge recommendation governor suspend following alleged involvement adarsh housing scam. "" quitting challenge suspension process , "" tiwari said 10-minute meeting maharashtra governor k sankaranarayanan raj bhavan here.alleging "" misconduct "" tiwari adarsh housing society scam , state cabinet january 11 recommended suspension governor.the former ias official said meeting , "" presented "" side story. "" going step informed governor. government already appointed commission probe matter truth would soon , "" tiwari said , adding , "" willing face inquiry , "" said.  pti","{'bjp': 0, 'cong': 0}",0,0,-0.0011111111111111183
2011-01-31,"adarsh scam cbi raids premises of adarsh accused n searches in m'rashtra, bihar n summons for questioning to be issued soon"," adarsh scam mumbai, january 30 the cbi today conducted searches in maharashtra and bihar at the premises of four accused in the adarsh housing scam, including a retired army officer, a congress leader and a former state government official, and will soon issue notices for summoning them for questioning.the searches were conducted at the residences of the society's general secretary rc thakur, retired brigadier mm wanchoo and congress leader kl gidwani and former principal secretary of the urban development department, ramanand tiwari, in the two states.the office of the adarsh society located in posh colaba here was also searched. the searches were carried out a day after the cbi filed an fir against 13 persons, including former maharastra chief minister ashok chavan and some retired senior army officials for their alleged involvement in the scam.""thakur, wanchoo and gidwani were not present at the premises when the searches were conducted. we are likely to issue notices to the trio summoning them for questioning,"" a senior cbi official said.while searches at thakur's residences in bihar, nagpur and thane are over, the operations at tiwari's house in mumbai continued till late in the evening.wanchoo's house in pune and gidwani's house at worli in central mumbai were also searched, the official added.according to cbi sources, thakur, wanchoo and gidwani were allegedly the prime movers in building the society, the sources said.thakur was the then sub-divisional officer at the defence estate office of mumbai while gidwani, a former congress mlc, was the chief promoter of the society.the cbi sources said that computers, laptops and some documents were seized from the premises which would be analysed by the sleuths.the electronic items would be sent to hyderabad and delhi for examination of the hard disk. tiwari, who was recently suspended by the maharashtra government as information commissioner, has been accused of misusing his official power and passing letters in favour of the society. his son onkar tiwari has a flat in the building.apart from chavan and the four accused, the fir also names retired lt general pk rampal, major generals ar kumar and tk kaul, subash lala, the then principal secretary to the chief minister and brig rc sharma (retd).the fir has been filed under various sections of the ipc, including criminal conspiracy, cheating, and forgery and showing forged document as genuine, besides sections pertaining to the prevention of corruption act.chavan, who had to quit as the cm last year after it was found that his family members also owned flats in the society, was the revenue <inister between 2001-2003 and had dealt with files pertaining to the ownership of the land.the fir also named pradeep vyas, the then collector of mumbai who is alleged to have cleared names of 71 persons in the society of which several were not eligible. his wife seema vyas is alleged to have a flat in the society. the agency had registered a preliminary inquiry into the scam in november last year.two former army chiefs gen deepak kapoor and gen nc vij and ex-navy chief admiral madhavendra singh owned flats in the building. however, the former top chiefs have claimed that they have now surrendered the flats. the union ministry of environment and forests had on january 16 ordered demolition of the building within three months, holding it as ""unauthorised"" and built in violation of the spirit of coastal regulations.late in the evening, the cbi began searches at the residence of former deputy secretary p v deshmukh.deshmukh was the deputy secretary in the maharashtra urban development ministry when the scam took place. he was one of the accused in the fir registered by the cbi yesterday.  pti","adarsh scam cbi raids premises adarsh accused n searches ' rashtra , bihar n summons questioning issued soon","adarsh scam mumbai , january 30 cbi today conducted searches maharashtra bihar premises four accused adarsh housing scam , including retired army officer , congress leader former state government official , soon issue notices summoning questioning.the searches conducted residences society ' general secretary rc thakur , retired brigadier mm wanchoo congress leader kl gidwani former principal secretary urban development department , ramanand tiwari , two states.the office adarsh society located posh colaba also searched. searches carried day cbi filed fir 13 persons , including former maharastra chief minister ashok chavan retired senior army officials alleged involvement scam. "" thakur , wanchoo gidwani present premises searches conducted. likely issue notices trio summoning questioning , "" senior cbi official said.while searches thakur ' residences bihar , nagpur thane , operations tiwari ' house mumbai continued till late evening.wanchoo ' house pune gidwani ' house worli central mumbai also searched , official added.according cbi sources , thakur , wanchoo gidwani allegedly prime movers building society , sources said.thakur sub-divisional officer defence estate office mumbai gidwani , former congress mlc , chief promoter society.the cbi sources said computers , laptops documents seized premises would analysed sleuths.the electronic items would sent hyderabad delhi examination hard disk. tiwari , recently suspended maharashtra government information commissioner , accused misusing official power passing letters favour society. son onkar tiwari flat building.apart chavan four accused , fir also names retired lt general pk rampal , major generals ar kumar tk kaul , subash lala , principal secretary chief minister brig rc sharma ( retd ) .the fir filed various sections ipc , including criminal conspiracy , cheating , forgery showing forged document genuine , besides sections pertaining prevention corruption act.chavan , quit cm last year found family members also owned flats society , revenue <inister 2001-2003 dealt files pertaining ownership land.the fir also named pradeep vyas , collector mumbai alleged cleared names 71 persons society several eligible. wife seema vyas alleged flat society. agency registered preliminary inquiry scam november last year.two former army chiefs gen deepak kapoor gen nc vij ex-navy chief admiral madhavendra singh owned flats building. however , former top chiefs claimed surrendered flats. union ministry environment forests january 16 ordered demolition building within three months , holding "" unauthorised "" built violation spirit coastal regulations.late evening , cbi began searches residence former deputy secretary p v deshmukh.deshmukh deputy secretary maharashtra urban development ministry scam took place. one accused fir registered cbi yesterday.  pti","{'bjp': 0, 'cong': 3}",3,0,-0.012231182795698924
2011-02-02,cbi seizes adarsh documents shiv kumar/tns," shiv kumar/tnsmumbai, february 1 the central bureau of investigation (cbi) has seized a large number of documents pertaining to allotment of flats and permissions given for constructing the adarsh co-operative housing society, according to sources. the documents were seized after the investigating agency opened a number of sealed flats belonging to the office-bearers of the society, according to sources.some of the documents were found in the office of the society while others were found in the properties belonging to several office-bearers, sources said. among those whose premises were raided included chief promoter of adarsh r c thakur and society president m m wanchoo.earlier, the agency had also sealed the premises belonging to former deputy secretary, urban development department, p v deshmukh who has a flat in the society. cbi's investigators are in the process of scrutinising the documents as part of the investigations in the housing scam.meanwhile, the investigating agency informed the bombay high court that it had filed an fir against 13 persons in the adarsh scam. however, the petitioner in the case, social activist simpreet singh has accused the agency of deliberately not including the name of former chief minister sushilkumar shinde in the case.",cbi seizes adarsh documents shiv kumar/tns,"shiv kumar/tnsmumbai , february 1 central bureau investigation ( cbi ) seized large number documents pertaining allotment flats permissions given constructing adarsh co-operative housing society , according sources. documents seized investigating agency opened number sealed flats belonging office-bearers society , according sources.some documents found office society others found properties belonging several office-bearers , sources said. among whose premises raided included chief promoter adarsh r c thakur society president wanchoo.earlier , agency also sealed premises belonging former deputy secretary , urban development department , p v deshmukh flat society. cbi ' investigators process scrutinising documents part investigations housing scam.meanwhile , investigating agency informed bombay high court filed fir 13 persons adarsh scam. however , petitioner case , social activist simpreet singh accused agency deliberately including name former chief minister sushilkumar shinde case .","{'bjp': 0, 'cong': 0}",0,0,0.04251322751322752
