Date,Title,Article,clean title,clean article,polarity,cong,bjp,senti
2014-12-11,a post office which delivers mail to god,"sabarimala (kerala): it is a unique post office, and one of its main tasks is to deliver letters to god. located near the famed hindu temple at the sabarimala hills, the post office may perhaps be the only one in the country which doesn't work round the year. it comes alive when the peak pilgrimage season of the ayyappa shrine begins on the first day of the malayalam month in november, and the period ends towards the middle of january. the post office is also open for 10 days during the vishu season. functioning six days a week from 8 in the morning to 8 at night, the six employees, led by 23-year-old sai g. prakash, have a lot to do. prakash is happy to be here, and says he was a devotee of lord ayyappa. ""our post office mostly gets invitation cards for weddings and shop openings addressed to lord ayyappa, obviously to seek divine blessings,"" prakash told ians. most such mail come from tamil nadu, karnataka and andhra pradesh, he said. but the three letter boxes kept in the temple complex get more than post cards and envelopes. every morning, the staff find scores of identity cards and wallets too in them. ""we make it a point to mail these cards to the individuals concerned,"" prakash said. the employees often spend their own money to do this. ""since this season began, i have posted close to 20 pan cards to the income tax office."" police say all this is the work of pickpockets who operate in the temple town -- crowded during the pilgrimage season. the criminals pocket the money from the wallets and dump the cards -- and wallets -- in the post boxes. situated in the mountain ranges of the western ghats at 914 metres above sea level, the sabarimala temple is four kilometres uphill from pamba in pathanamthitta district, around 100 km from thiruvananthapuram. the temple is accessible only on foot from pamba. during the last pilgrimage season, more than 4.5 million devotees visited the shrine. this season the authorities expect a 10 per cent increase. a feature of the post office is the special pictorial cancellation stamp of the 18 steps that led to the lord ayyappa shrine. ""some devotees come and buy covers or cards and write their own address and post them here,"" said prakash. ""this is their souvenir."" the post office helps pilgrims to post 'appom' and 'aravana' (the temple prasad). it also sells mobile recharge coupons. of the six employees, three walk down the hill daily carrying the outgoing mail on their heads. when they walk up, they carry bags of mail -- mostly addressed to lord ayyappa. ""overall we enjoy what we do here,"" said prakash. ""we are very happy we got this posting."" -ians ",post office delivers mail god,"sabarimala ( kerala ) : unique post office , one main tasks deliver letters god. located near famed hindu temple sabarimala hills , post office may perhaps one country ' work round year. comes alive peak pilgrimage season ayyappa shrine begins first day malayalam month november , period ends towards middle january. post office also open 10 days vishu season. functioning six days week 8 morning 8 night , six employees , led 23-year-old sai g. prakash , lot do. prakash happy , says devotee lord ayyappa. "" post office mostly gets invitation cards weddings shop openings addressed lord ayyappa , obviously seek divine blessings , "" prakash told ians. mail come tamil nadu , karnataka andhra pradesh , said. three letter boxes kept temple complex get post cards envelopes. every morning , staff find scores identity cards wallets them. "" make point mail cards individuals concerned , "" prakash said. employees often spend money this. "" since season began , posted close 20 pan cards income tax office. "" police say work pickpockets operate temple town -- crowded pilgrimage season. criminals pocket money wallets dump cards -- wallets -- post boxes. situated mountain ranges western ghats 914 metres sea level , sabarimala temple four kilometres uphill pamba pathanamthitta district , around 100 km thiruvananthapuram. temple accessible foot pamba. last pilgrimage season , 4.5 million devotees visited shrine. season authorities expect 10 per cent increase. feature post office special pictorial cancellation stamp 18 steps led lord ayyappa shrine. "" devotees come buy covers cards write address post , "" said prakash. "" souvenir. "" post office helps pilgrims post ' appom ' ' aravana ' ( temple prasad ) . also sells mobile recharge coupons. six employees , three walk hill daily carrying outgoing mail heads. walk , carry bags mail -- mostly addressed lord ayyappa. "" overall enjoy , "" said prakash. "" happy got posting. "" -ians","{'bjp': 0, 'cong': 0}",0,0,0.22478238607270865
2015-10-09,author’s car damaged over beef fest,"alapuzha, october 8 social activist and author rahul easwar’s car was today damaged and his path blocked by some students after he refused to lend support to a beef festival being organised in various colleges in kerala to protest against the dadri lynching incident. the police registered a case against 25 students of the milad e sherif memorial college in kayamkulam. easwar had gone to the college for a lecture on “cyber crime”. as he was leaving the venue, some students blocked his path and asked him to support the “beef festival”, college principal shaik ahammed told pti. some students closed the gate, raised slogans, and waved black flags at him, he said. “this is cultural fascism. this shows intolerance. they damaged my car saying i had not supported the beef festival,” said easwar, who is the grandson of kandararu maheshwararu, senior supreme priest of sabarimala, the hill shrine of lord ayappa. — pti ;",author ’ car damaged beef fest,"alapuzha , october 8 social activist author rahul easwar ’ car today damaged path blocked students refused lend support beef festival organised various colleges kerala protest dadri lynching incident. police registered case 25 students milad e sherif memorial college kayamkulam. easwar gone college lecture “cyber crime ” . leaving venue , students blocked path asked support “beef festival ” , college principal shaik ahammed told pti. students closed gate , raised slogans , waved black flags , said. “this cultural fascism. shows intolerance. damaged car saying supported beef festival , ” said easwar , grandson kandararu maheshwararu , senior supreme priest sabarimala , hill shrine lord ayappa. — pti ;","{'bjp': 0, 'cong': 0}",0,0,-0.026666666666666665
2015-11-03,beef no taboo for kerala hindus,"shubhadeep choudhury  bengaluru, november 2 god’s own country has many a surprise in store for newcomers from other parts of the country. one such surprise is the total absence of any taboo among the hindus there as regards eating of beef. even in the assembly hostel, where maintenance of appearance is considered a must, beef is available on the menu. a section of the hindus—especially womenfolk—stick to a strictly vegetarian diet in kerala. those who are not vegetarian, however, have no problem eating beef which they treat just like any other meat. in residential areas of thiruvananthapuram, capital of kerala, beef is sold on sundays just like mutton is sold from makeshift counters set up for holiday customers. usually, the severed head of the bovine is put on display at these shops to attract buyer. there are proper shops where beef is sold throughout the year. ; hindus, it must be noted, do not practice their religion in kerala with any less vigour than their counterparts in other parts of india. the state is dotted with temples, including famous ones such the padmanabha temple at thiruvananthapuram, vishnu temple at guruvayur, ayyappan’stemple at sabarimala and so on. male devotees have to wear “mundus” (resembling a dhoti) and women saris for paying obeisance at kerala temples. people wearing stitched cloths are not allowed in temples. but beef is not an issue for even the devout among the malayali hindus more than eighty per cent of whom are non-vegetarians. a recent survey by meat products of india limited (mpil), a state government agency, showed that 1,500 tonnes of beef was consumed in kerala every day. hindus partake in this fare along with christians and muslims. with no ban in place on slaughtering of cattle, kerala beef merchants source their raw material from states as far as bihar and orissa. the way the animals are transported—often without food and water—has often drawn attention of animal rights’ activists. “farmers are unable keep male calves and raising them with costly fodder is unviable. such calves, bullocks and cows past their utility find value only as a source of meat,” said mp john, mpil managing director.",beef taboo kerala hindus,"shubhadeep choudhury bengaluru , november 2 god ’ country many surprise store newcomers parts country. one surprise total absence taboo among hindus regards eating beef. even assembly hostel , maintenance appearance considered must , beef available menu. section hindus — especially womenfolk — stick strictly vegetarian diet kerala. vegetarian , however , problem eating beef treat like meat. residential areas thiruvananthapuram , capital kerala , beef sold sundays like mutton sold makeshift counters set holiday customers. usually , severed head bovine put display shops attract buyer. proper shops beef sold throughout year. ; hindus , must noted , practice religion kerala less vigour counterparts parts india. state dotted temples , including famous ones padmanabha temple thiruvananthapuram , vishnu temple guruvayur , ayyappan ’ stemple sabarimala on. male devotees wear “mundus ” ( resembling dhoti ) women saris paying obeisance kerala temples. people wearing stitched cloths allowed temples. beef issue even devout among malayali hindus eighty per cent non-vegetarians. recent survey meat products india limited ( mpil ) , state government agency , showed 1,500 tonnes beef consumed kerala every day. hindus partake fare along christians muslims. ban place slaughtering cattle , kerala beef merchants source raw material states far bihar orissa. way animals transported — often without food water — often drawn attention animal rights ’ activists. “farmers unable keep male calves raising costly fodder unviable. calves , bullocks cows past utility find value source meat , ” said mp john , mpil managing director .","{'bjp': 0, 'cong': 0}",0,0,0.029745421245421264
2015-11-21,temple to move court on ban on throwing clothes in river,"thiruvananthapuram, november 21 the sabarimala temple authorities said on saturday they plan to move the kerala high court against its ban on pilgrims throwing their clothes into the pamba river. temple officials admitted they too were against polluting the river but said a long-standing tradition involving people's faith must not be curbed solely by law. arresting pilgrims throwing clothes into the river or filing cases against them was not a way out of the problem, ajay tharayil, a member of travancore devaswom board (tdb) which manages the temple, said here. ""it will be some time before we can bring about a change by running an awareness campaign. so we are considering approaching the high court with a revision petition on the issue,"" said tharayil. the high court last month ordered strict action against pilgrims throwing clothes into water bodies near the hill temple. ; following that, police arrested 10 pilgrims who, having taken the holy dip before beginning their pilgrimage to the temple, threw their clothes into the river. the sabarimala temple opened its doors on monday evening, signalling the start of a nearly two-month pilgrim season which will last up to the first day of the malayalam month in january. situated on the mountain ranges of the western ghats at 914 metres above sea level, the temple is four kilometres uphill from pamba and some 100 km from thiruvananthapuram. the temple can be reached only on foot from pamba. the tdb manages hundreds of temples in kerala. —ians ",temple move court ban throwing clothes river,"thiruvananthapuram , november 21 sabarimala temple authorities said saturday plan move kerala high court ban pilgrims throwing clothes pamba river. temple officials admitted polluting river said long-standing tradition involving people ' faith must curbed solely law. arresting pilgrims throwing clothes river filing cases way problem , ajay tharayil , member travancore devaswom board ( tdb ) manages temple , said here. "" time bring change running awareness campaign. considering approaching high court revision petition issue , "" said tharayil. high court last month ordered strict action pilgrims throwing clothes water bodies near hill temple. ; following , police arrested 10 pilgrims , taken holy dip beginning pilgrimage temple , threw clothes river. sabarimala temple opened doors monday evening , signalling start nearly two-month pilgrim season last first day malayalam month january. situated mountain ranges western ghats 914 metres sea level , temple four kilometres uphill pamba 100 km thiruvananthapuram. temple reached foot pamba. tdb manages hundreds temples kerala. — ians","{'bjp': 0, 'cong': 0}",0,0,0.07357142857142855
2016-01-04,telemedicine facilities at char dham soon,"aditi tandon  new delhi, january 3 the central government has planned a big new year boost for temple towns across the country with a proposal to provide telemedicine consultation facilities at all top shrines. the union ministry of health, in collaboration with the union department of space, has decided to establish telemedicine centres at char dham (gangotri, yamunotri, kedarnath, and badrinath) in uttarakhand, along the kailash mansarover route, at the amarnath cave shrine and the sabarimala ayyappa temple in kerala. the project envisages a provision of telemedicine consultation facilities between places of pilgrimage and specialty hospitals in their vicinity in a move to ensure healthcare service to millions of pilgrims who visit these places every year. ; already, the health ministry has kick-started the project by covering the ayyappa temple in the first phase and setting up a telemedicine node at the pampa hospital at the base of ayyappa shrine in the poll-bound kerala. gradually, the facility will be extended to other temple towns and pilgrimages. health ministry officials said the project is part of prime minister narendra modi’s recent instruction to central ministries to maximise the use of space technology tools and its applications in governance. the instruction followed a day-long national meet on ‘promoting space technology based tools and applications in governance’ held in delhi recently. the health ministry has, as part of the pmo’s plan, drawn up a list of six projects to be implemented in collaboration with the department of space over the next year. one of these projects involves a telemedicine pilot project covering a district each in himachal pradesh, odisha, arunachal pradesh and meghalaya, all states with difficult terrain. in himachal pradesh, the ministry has projected a telemedicine project at the community health centre in kinnaur. ",telemedicine facilities char dham soon,"aditi tandon new delhi , january 3 central government planned big new year boost temple towns across country proposal provide telemedicine consultation facilities top shrines. union ministry health , collaboration union department space , decided establish telemedicine centres char dham ( gangotri , yamunotri , kedarnath , badrinath ) uttarakhand , along kailash mansarover route , amarnath cave shrine sabarimala ayyappa temple kerala. project envisages provision telemedicine consultation facilities places pilgrimage specialty hospitals vicinity move ensure healthcare service millions pilgrims visit places every year. ; already , health ministry kick-started project covering ayyappa temple first phase setting telemedicine node pampa hospital base ayyappa shrine poll-bound kerala. gradually , facility extended temple towns pilgrimages. health ministry officials said project part prime minister narendra modi ’ recent instruction central ministries maximise use space technology tools applications governance. instruction followed day-long national meet ‘promoting space technology based tools applications governance ’ held delhi recently. health ministry , part pmo ’ plan , drawn list six projects implemented collaboration department space next year. one projects involves telemedicine pilot project covering district himachal pradesh , odisha , arunachal pradesh meghalaya , states difficult terrain. himachal pradesh , ministry projected telemedicine project community health centre kinnaur.","{'bjp': 0, 'cong': 0}",0,0,-0.03094405594405595
2016-01-11,sc questions practice of banning entry of women at sabarimala," new delhi, january 11 the supreme court today questioned the age-old tradition of banning entry of women of menstrual age group in historic sabarimala temple in kerala, saying it cannot be done under the constitution. “the temple cannot prohibit entry (women), except on the basis of religion. unless you have a constitutional right, you cannot prohibit entry. anyway, we will examine it on february 8,” a bench of justices dipak misra and nv ramana said. the bench was hearing a pil, filed by the young lawyers’ association, seeking entry for all women and girls in the sabarimala temple which, as a practice, does not allow girls after attaining puberty to enter the premises. however, women, who have crossed menopause, are allowed. during the brief hearing today, the bench posed a query as to why women cannot be allowed inside and observed that the practice was not supported by the constitutional scheme. ; it asked the government whether it was sure that women have not entered the temple premises in the last 1,500 years. the bench also observed that it was a public temple and everyone needed to have ""the right to access"". at best, there can be religious restrictions and not a general restriction, it said. senior advocate kk venugopal, appearing for kerala, said the women, who have not attained menopause, cannot preserve the purity during the religious journey to the temple, located on a hilltop, which usually spans 41 days. — pti ",sc questions practice banning entry women sabarimala,"new delhi , january 11 supreme court today questioned age-old tradition banning entry women menstrual age group historic sabarimala temple kerala , saying cannot done constitution. “the temple cannot prohibit entry ( women ) , except basis religion. unless constitutional right , cannot prohibit entry. anyway , examine february 8 , ” bench justices dipak misra nv ramana said. bench hearing pil , filed young lawyers ’ association , seeking entry women girls sabarimala temple , practice , allow girls attaining puberty enter premises. however , women , crossed menopause , allowed. brief hearing today , bench posed query women cannot allowed inside observed practice supported constitutional scheme. ; asked government whether sure women entered temple premises last 1,500 years. bench also observed public temple everyone needed "" right access "" . best , religious restrictions general restriction , said. senior advocate kk venugopal , appearing kerala , said women , attained menopause , cannot preserve purity religious journey temple , located hilltop , usually spans 41 days. — pti","{'bjp': 0, 'cong': 0}",0,0,0.14519944341372912
2016-01-18,sabarimala pil: sc asks police to provide security to lawyer,"new delhi, january 18 supreme court on monday asked delhi police to provide security to a lawyer who claims to have received threatening phone calls after he filed a pil challenging kerela’s sabrimalai temple’s rule against not allowing women between 10 and 50 years enter the temple. ""access to justice cannot be dented by any authority or any person. it can only be controlled by a court of law within the parameters of law. individual whim or fancy or perception has no room,"" a three-judge bench headed by justice dipak misra said, directing the city police chief to ensure that no harm is caused to him. naushad ahmed khan, the president of indian young lawyers' association (iyla) — which has filed the pil — said he received phone calls threatening him to withdraw the ""we are absolutely conscious that the fir has been lodged at a particular police station but we would like the commissioner of police to file the response. we direct the commissioner of police to see that the attempts of this nature are crippled in the beginning,"" the bench, also comprising justices p c ghose and n v ramana, said. the court also said once a pil is filed and entertained, it could not be allowed to be withdrawn. ; sabrimala does not allow women who menstruate into the temple. on january 11, supreme court questioned the age-old rule, which it said violated the right to equality. senior advocate kk venugopal, appearing for the travancore devaswom board, had said women who have not attained menopause could not “preserve purity” required to undertake the 41-day religious journey to the temple that sits atop a hill. pti",sabarimala pil : sc asks police provide security lawyer,"new delhi , january 18 supreme court monday asked delhi police provide security lawyer claims received threatening phone calls filed pil challenging kerela ’ sabrimalai temple ’ rule allowing women 10 50 years enter temple. "" access justice cannot dented authority person. controlled court law within parameters law. individual whim fancy perception room , "" three-judge bench headed justice dipak misra said , directing city police chief ensure harm caused him. naushad ahmed khan , president indian young lawyers ' association ( iyla ) — filed pil — said received phone calls threatening withdraw "" absolutely conscious fir lodged particular police station would like commissioner police file response. direct commissioner police see attempts nature crippled beginning , "" bench , also comprising justices p c ghose n v ramana , said. court also said pil filed entertained , could allowed withdrawn. ; sabrimala allow women menstruate temple. january 11 , supreme court questioned age-old rule , said violated right equality. senior advocate kk venugopal , appearing travancore devaswom board , said women attained menopause could “preserve purity ” required undertake 41-day religious journey temple sits atop hill. pti","{'bjp': 0, 'cong': 0}",0,0,0.13887445887445887
2016-01-19,kerala shrine board to trace ban on women," new delhi, january 18 the management of kerala’s sabarimala ayyappa temple today sought eight weeks to trace the origin of the ban on the entry of women in the 10-50 age group into the shrine as the supreme court ordered police security for the advocate who has challenged the restriction. a bench headed by justice dipak misra directed the delhi police commissioner to file an action taken report on the complaint of naushad ahmed khan that he was getting death threats on the phone for seeking gender parity for women in the matter of “darshan” at the temple. the bench also directed the police to provide security cover to khan, president of the indian young lawyers association. the bench, the kerala government and the temple management (travancore devaswom board) said the threats, if true, were “absolutely atrocious” and intended to deny access to justice, which could not be allowed. the sc slated the next hearing for february 8. ;pti adds: the bombay high court on monday said it would wait for the supreme court’s ruling on entry of women into sabarimala temple before deciding on a similar plea in case of haji ali durgah in that city. the bench of justices vm kanade and reveti mohite-dere was hearing a pil challenging the decision of the haji ali trust to ban the entry of women into the historic shrine. ",kerala shrine board trace ban women,"new delhi , january 18 management kerala ’ sabarimala ayyappa temple today sought eight weeks trace origin ban entry women 10-50 age group shrine supreme court ordered police security advocate challenged restriction. bench headed justice dipak misra directed delhi police commissioner file action taken report complaint naushad ahmed khan getting death threats phone seeking gender parity women matter “darshan ” temple. bench also directed police provide security cover khan , president indian young lawyers association. bench , kerala government temple management ( travancore devaswom board ) said threats , true , “absolutely atrocious ” intended deny access justice , could allowed. sc slated next hearing february 8. ; pti adds : bombay high court monday said would wait supreme court ’ ruling entry women sabarimala temple deciding similar plea case haji ali durgah city. bench justices vm kanade reveti mohite-dere hearing pil challenging decision haji ali trust ban entry women historic shrine.","{'bjp': 0, 'cong': 0}",0,0,0.03148760330578513
2016-02-06,kerala backs ban on women’s entry to sabrimala temple,"new delhi, february 6 the kerala government has told the supreme court that banning entry of women of menstrual age in historic sabarimala temple in the state, is a “matter of religion” and it is duty bound to “protect the right to practice the religion of these devotees”. in an affidavit, the state government said administration of the temple vests with the travancore devaswom board under the travancore-cochin hindu religious institutions act and the decision of the priests is final in the matter of worship. “in the context of sabarimala, the administration vests with the travancore devaswom board under the provisions of the travancore-cochin hindu religious institutions act, 1950. “under the act, there is a statutory duty cast on the board to arrange worship in temples in accordance with the usage. therefore, in matters of religion, it is the opinion of the priests that is final,” the affidavit filed by state chief secretary jiji thomson said. a bench of justices dipak misra and nv ramana would take up the matter on february 8. ; the congress-led udf government, while withdrawing the affidavit filed earlier in the apex court by the previous ldf government in november 2007 supporting entry of women into this temple, said, “the restriction on women between the age of 10 and 50 has been prevailing in sabarimala from time immemorial. this is in keeping with the unique ‘pratishta sangalp’ or idol concept of the temple.” “the same is an essential and integral part of the right of practice of religion of a devotee and comes under the protective guarantee of the constitution under articles 25 and 26 which have been held to contain guarantee for rituals, observances, ceremonies and modes of worship which are an integral part of religion,” it said. urging the court to dismiss the pil filed by indian young lawyers’ association, the affidavit said, “the present petition which seeks to change the beliefs and customs of crores of devotees by judicial process is wholly misplaced and liable to be dismissed”. it added that the state government is “duty bound to protect the right to practice the religion of these devotees”. the government also said “the right to exclude persons who are not allowed to participate in worship according to the tenets of the religious institution in question is a matter of religion” and such essential or integral parts of religion are “immune” from challenge under article 14 (right to equality). “since the deity is in the form of naisthik brahmachari, it is believed that young women should not offer worship in the temple so that even the slightest deviation from celibacy and austerity observed by the deity is not caused in the presence of such women,” the affidavit said. the previous government had supported entry of women in the hilltop shrine saying, “it is not fair to deny a section of women from entering sabarimala temple”. it had also favoured appointment of a commission of scholars to facilitate the change. the present government, however, said the previous stand favouring a change had no legal basis and that it wanted to rectify the “mistakes” by withdrawing the stand taken in 2007. the affidavit was filed on a pil by the association seeking entry for all women and girls in the sabarimala temple which, as a practice, does not allow girls after attaining puberty to enter the premises. however, women, who have crossed menopause, are allowed. on january 11, the bench had questioned the tradition of banning entry of women of menstrual age group in the temple, saying it cannot be done under the constitution. the bench had also asked why women cannot be allowed inside and whether the government was sure that women have not entered the temple premises in the last 1,500 years. it had observed that it was a public temple and everyone needed to have “the right to access”. — pti ",kerala backs ban women ’ entry sabrimala temple,"new delhi , february 6 kerala government told supreme court banning entry women menstrual age historic sabarimala temple state , “matter religion ” duty bound “protect right practice religion devotees ” . affidavit , state government said administration temple vests travancore devaswom board travancore-cochin hindu religious institutions act decision priests final matter worship. “in context sabarimala , administration vests travancore devaswom board provisions travancore-cochin hindu religious institutions act , 1950. “under act , statutory duty cast board arrange worship temples accordance usage. therefore , matters religion , opinion priests final , ” affidavit filed state chief secretary jiji thomson said. bench justices dipak misra nv ramana would take matter february 8. ; congress-led udf government , withdrawing affidavit filed earlier apex court previous ldf government november 2007 supporting entry women temple , said , “the restriction women age 10 50 prevailing sabarimala time immemorial. keeping unique ‘pratishta sangalp ’ idol concept temple. ” “the essential integral part right practice religion devotee comes protective guarantee constitution articles 25 26 held contain guarantee rituals , observances , ceremonies modes worship integral part religion , ” said. urging court dismiss pil filed indian young lawyers ’ association , affidavit said , “the present petition seeks change beliefs customs crores devotees judicial process wholly misplaced liable dismissed ” . added state government “duty bound protect right practice religion devotees ” . government also said “the right exclude persons allowed participate worship according tenets religious institution question matter religion ” essential integral parts religion “immune ” challenge article 14 ( right equality ) . “since deity form naisthik brahmachari , believed young women offer worship temple even slightest deviation celibacy austerity observed deity caused presence women , ” affidavit said. previous government supported entry women hilltop shrine saying , “it fair deny section women entering sabarimala temple ” . also favoured appointment commission scholars facilitate change. present government , however , said previous stand favouring change legal basis wanted rectify “mistakes ” withdrawing stand taken 2007. affidavit filed pil association seeking entry women girls sabarimala temple , practice , allow girls attaining puberty enter premises. however , women , crossed menopause , allowed. january 11 , bench questioned tradition banning entry women menstrual age group temple , saying cannot done constitution. bench also asked women cannot allowed inside whether government sure women entered temple premises last 1,500 years. observed public temple everyone needed “the right access ” . — pti","{'bjp': 0, 'cong': 0}",0,0,0.055018552875695736
2016-02-07,kerala backs ban on women’s entry at sabarimala,"new delhi, february 6 the kerala government has told the supreme court that banning entry of women of menstrual age in historic sabarimala temple in the state, is a ""matter of religion"" and it is duty bound to ""protect the right to practice the religion of these devotees"". in an affidavit, the state government said administration of the temple vests with the travancore devaswom board under the travancore-cochin hindu religious institutions act and the decision of the priests is final in the matter of worship. ""in the context of sabarimala, the administration vests with the travancore devaswom board. — pti ",kerala backs ban on women ’ entry at sabarimala,"new delhi , february 6 kerala government told supreme court banning entry women menstrual age historic sabarimala temple state , "" matter religion "" duty bound "" protect right practice religion devotees "" . affidavit , state government said administration temple vests travancore devaswom board travancore-cochin hindu religious institutions act decision priests final matter worship. "" context sabarimala , administration vests travancore devaswom board. — pti","{'bjp': 0, 'cong': 0}",0,0,0.08441558441558442
